child,parent
MONDO_0003218,MONDO_0004647
MONDO_0004658,MONDO_0004647
MONDO_0004958,MONDO_0044925
MONDO_0015459,MONDO_0021345
MONDO_0003090,MONDO_0005496
MONDO_0003193,MONDO_0005496
MONDO_0000376,MONDO_0004992
MONDO_0000621,MONDO_0004992
MONDO_0000637,MONDO_0004992
MONDO_0000653,MONDO_0004992
MONDO_0002100,MONDO_0004992
MONDO_0002149,MONDO_0004992
MONDO_0002516,MONDO_0004992
MONDO_0002813,MONDO_0004992
MONDO_0003274,MONDO_0004992
MONDO_0004993,MONDO_0004992
MONDO_0005089,MONDO_0004992
MONDO_0005627,MONDO_0004992
MONDO_0005853,MONDO_0004992
MONDO_0005872,MONDO_0004992
MONDO_0005941,MONDO_0004992
MONDO_0006290,MONDO_0004992
MONDO_0006292,MONDO_0004992
MONDO_0006295,MONDO_0004992
MONDO_0006517,MONDO_0004992
MONDO_0020633,MONDO_0004992
MONDO_0020663,MONDO_0004992
MONDO_0020665,MONDO_0004992
MONDO_0021069,MONDO_0004992
MONDO_0024637,MONDO_0004992
MONDO_0024881,MONDO_0004992
MONDO_0001416,MONDO_0002149
MONDO_0005836,MONDO_0002149
MONDO_0000402,MONDO_0002120
MONDO_0005057,MONDO_0002120
MONDO_0005575,MONDO_0005814
MONDO_0005112,MONDO_0006294
MONDO_0000458,MONDO_0018177
MONDO_0002501,MONDO_0018177
MONDO_0000500,MONDO_0004631
MONDO_0000500,MONDO_0004958
MONDO_0005023,MONDO_0003218
MONDO_0002529,MONDO_0005096
MONDO_0005097,MONDO_0005096
MONDO_0005580,MONDO_0005096
MONDO_0006143,MONDO_0005096
MONDO_0010150,MONDO_0005096
MONDO_0021054,MONDO_0002129
MONDO_0021138,MONDO_0002129
MONDO_0003578,MONDO_0003113
MONDO_0021315,MONDO_0005517
MONDO_0044710,MONDO_0010150
MONDO_0020560,MONDO_0002728
MONDO_0002924,MONDO_0005864
MONDO_0000548,MONDO_0018364
MONDO_0003812,MONDO_0018364
MONDO_0005140,MONDO_0018364
MONDO_0024885,MONDO_0018364
MONDO_0005590,MONDO_0004988
MONDO_0005461,MONDO_0002447
MONDO_0000607,MONDO_0018898
MONDO_0015758,MONDO_0018898
MONDO_0000612,MONDO_0000621
MONDO_0000871,MONDO_0000621
MONDO_0000872,MONDO_0000621
MONDO_0009693,MONDO_0000621
MONDO_0021138,MONDO_0000621
MONDO_0000615,MONDO_0006116
MONDO_0000616,MONDO_0006116
MONDO_0000618,MONDO_0006116
MONDO_0004990,MONDO_0006116
MONDO_0006244,MONDO_0006116
MONDO_0006512,MONDO_0006116
MONDO_0006513,MONDO_0006116
MONDO_0002129,MONDO_0000637
