gse	pmid	subseries	superseries	affiliation	BioProject	SRA
GSE100027	29133799	['GSE100209']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390528']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109188']
GSE100040	28768201				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390543']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109292']
GSE100075	29192207	['GSE100076']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390636']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109286']
GSE100081	29051139				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390639']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109287']
GSE100092					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390660']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109301']
GSE100099	28825732				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390679']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109318']
GSE100118	28953884; 34050011	['GSE100120']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392971']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113531']
GSE100183	29028833	['GSE69878']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390939']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109645']
GSE100206	26138677				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390988']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109666']
GSE100210	29129909				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391171']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109827']
GSE100223	29765017	['GSE97964']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391086']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109765']
GSE100258	29802342; 34463254	['GSE100259']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391169']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109817']
GSE100266	28844864				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391180']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109832']
GSE100268	30659184	['GSE100312']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391184']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109837']
GSE100291	28798667				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391264']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110003']
GSE100327	30003124				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391336']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110040']
GSE100338	28587571				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391373']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110081']
GSE100359					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391449']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110148']
GSE100382	28825701	['GSE100383']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391490']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110187']
GSE100392	29632659				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391505']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110199']
GSE100408	28892090				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391584']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110248']
GSE100417	28803914				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391699']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110267']
GSE100427	28968964				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391716']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110289']
GSE100501	28854175				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391958']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110537']
GSE100520	28808124				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392027']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110569']
GSE100530	29617667				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392042']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110582']
GSE100562	28923166	['GSE100563']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392116']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110609']
GSE100568	28696319	['GSE102996']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392124']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110615']
GSE100574	30165855				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392160']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110620']
GSE100618	29167569				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392305']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110699']
GSE100624					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392314']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110704']
GSE100669	28039356				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392464']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110770']
GSE100684	29352292				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392660']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110805']
GSE100688	28756741				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392671']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110815']
GSE100709	29233916				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392700']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110832']
GSE100745	29236685				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392910']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110991']
GSE100751	28781121	['GSE74180']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392914']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110994']
GSE100791	28834758				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393075']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111077']
GSE100813	29361176				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393164']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111122']
GSE100862	29099092				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393309']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111190']
GSE100891	28923553				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393355']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111293']
GSE100925	30930117				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393443']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111343']
GSE100982	28801509	['GSE77641']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393570']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111407']
GSE101133					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393783']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111513']
GSE101157	29063830	['GSE87817']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393824']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111526']
GSE101167	29063830	['GSE87817']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393831']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111532']
GSE101168	29893976	['GSE101180']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393835']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111535']
GSE101209	29162797; 29610481				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393881']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111555']
GSE101232	29063830	['GSE87817']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393897']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111577']
GSE101234	29063830	['GSE87817']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393938']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111653']
GSE101343	40290990				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394015']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111737']
GSE101396	28733463				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394103']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111818']
GSE101419	28808038				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394145']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111868']
GSE101451	29122575				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394248']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111944']
GSE101467					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394516']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111967']
GSE101480	29235481				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394528']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111983']
GSE101497	29033940				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394680']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112521']
GSE101518	29118030	['GSE101520']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394721']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112552']
GSE101519	29118030	['GSE101520']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394720']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112553']
GSE101521	27528462				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394722']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112551']
GSE101526	29117556				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394729']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112583']
GSE101528	28939823				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394735']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112586']
GSE101547	28886030				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394765']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112623']
GSE101558					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394833']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112702']
GSE101565	29339538				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394840']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112709']
GSE101628	28855340	['GSE101630']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395029']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112886']
GSE101629	28855340; 37378433	['GSE101630']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395030']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112887']
GSE101638	29590631; 39207122				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395045']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112897']
GSE101655	28965765; 30840882				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395090']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113012']
GSE101661	28886367				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395097']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113027']
GSE101665	29092903; 31646252				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395149']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113156']
GSE101668	29760071				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395153']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113171']
GSE101691	28808806				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395214']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113228']
GSE101705	33482742; 36248906				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395234']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113245']
GSE101708					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395241']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113250']
