gse	pmid	subseries	superseries	affiliation	BioProject	SRA
GSE100035	29184144				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390532']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109190']
GSE100039	29386101				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390538']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109217']
GSE100067	28630088				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390618']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109279']
GSE100070	28768717				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390628']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109283']
GSE100098	28698299				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390672']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109310']
GSE100102	28759028				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390720']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109350']
GSE100106	28576768				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390723']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109358']
GSE100175	29018326				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390912']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109633']
GSE100212	28662216	['GSE100250']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390999']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109674']
GSE100217	28723918				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391022']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109699']
GSE100222	28760199				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391075']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109763']
GSE100225	40502027				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391090']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109774']
GSE100244	28674041				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391151']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109807']
GSE100265	28798046	['GSE93130']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391172']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109830']
GSE100276	29346762				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391197']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP109869']
GSE100277	28792938	['GSE100048']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391350']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110044']
GSE100278	28792938	['GSE100048']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391351']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110048']
GSE100332	28792938	['GSE100048']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391352']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110047']
GSE100356	28819234; 30789900				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391436']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110146']
