ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,score_human,score_mouse,pair_type,depth_human,depth_mouse,lca_depth,tree_distance
GSE100392,GSE58916,MONDO_0015075,MONDO_0009807,3.714387966045237,1.15052248565767,branch,2,2,0,4
GSE100669,GSE63679,MONDO_0003274,MONDO_0005089,1.903214739756205,1.263484429046463,branch,1,1,0,2
GSE100925,GSE77896,MONDO_0004989,MONDO_0009831,3.978429962143868,2.137767178998666,branch,2,2,0,4
GSE101419,GSE78510,MONDO_0001187,MONDO_0009831,2.101266696532556,5.392618613612327,branch,2,2,0,4
GSE101480,GSE79313,MONDO_0018874,MONDO_0011996,4.857970123045057,1.2486287172777422,branch,5,5,4,2
GSE101526,GSE71629,MONDO_0005575,MONDO_0005061,1.9104447945331224,1.8148397617804053,branch,3,3,0,6
GSE101528,GSE80083,MONDO_0008170,MONDO_0008315,1.0356408646865614,4.116692168392473,branch,3,3,1,4
GSE101665,GSE72480,MONDO_0009831,MONDO_0004989,4.2858140154395015,2.412380440757405,branch,2,2,0,4
GSE101691,GSE85491,MONDO_0004989,MONDO_0001187,1.2676825246921242,1.8316092703389697,branch,2,2,0,4
GSE101927,GSE79437,MONDO_0004989,MONDO_0100342,1.9929680662744165,4.083866177471436,branch,2,2,0,4
GSE101972,GSE65665,MONDO_0008170,MONDO_0007256,4.212056713595069,4.245581591294792,branch,3,3,0,6
GSE102097,GSE90067,MONDO_0005549,MONDO_0004643,1.266199321551045,3.544643631922829,branch,4,4,0,8
GSE102183,GSE96972,MONDO_0008315,MONDO_0024331,2.919987895657212,1.4424724823281152,branch,3,3,0,6
GSE102185,GSE89549,MONDO_0000376,MONDO_0005627,1.0837968417724553,1.0572347209884008,branch,1,1,0,2
GSE102244,GSE90059,MONDO_0018177,MONDO_0004643,4.0113540986516565,3.620433071999782,branch,4,4,0,8
GSE102305,GSE43028,MONDO_0008315,MONDO_0005061,1.497670701034389,2.439355577406172,branch,3,3,0,6
GSE102349,GSE94583,MONDO_0015459,MONDO_0007256,1.9660333431082235,4.9417259931317385,branch,3,3,2,2
GSE103001,GSE38539,MONDO_0004989,MONDO_0002108,2.7443345955571026,2.80346972569896,branch,2,2,0,4
GSE103152,GSE85648,MONDO_0009831,MONDO_0002108,1.6166589460117706,2.447948055629205,branch,2,2,0,4
GSE103305,GSE80087,MONDO_0002108,MONDO_0100342,4.455210300147066,3.275844405550001,branch,2,2,0,4
GSE103567,GSE85648,MONDO_0009693,MONDO_0002108,2.902192772448374,2.447948055629205,branch,2,2,0,4
GSE103790,GSE99233,MONDO_0016680,MONDO_0008315,1.8126211037040707,1.7998489232477948,branch,3,3,0,6
GSE103850,GSE63853,MONDO_0004989,MONDO_0100342,3.592215080802503,2.5947091579800934,branch,2,2,0,4
GSE104177,GSE72069,MONDO_0004989,MONDO_0009831,1.549828738470633,1.6538124170262154,branch,2,2,0,4
GSE104193,GSE90116,MONDO_0004989,MONDO_0009831,1.1800223409339137,2.764781132837785,branch,2,2,0,4
GSE104310,GSE72942,MONDO_0007256,MONDO_0005233,4.767474799915019,2.300083368946061,branch,3,3,1,4
GSE104836,GSE92721,MONDO_0005008,MONDO_0008315,4.50097889093876,1.7976789285190369,branch,3,3,0,6
