ID,term,depth,coverage,n_ancestors,n_ancestors_hit
GSE74639,MONDO_0000376,1,0.0,1,0
GSE84339,MONDO_0000376,1,0.0,1,0
GSE96106,MONDO_0000376,1,0.0,1,0
GSE68795,MONDO_0000376,1,0.0,1,0
GSE34914,MONDO_0000376,1,0.0,1,0
GSE83492,MONDO_0000376,1,0.0,1,0
GSE88943,MONDO_0000376,1,0.0,1,0
GSE73555,MONDO_0000376,1,0.0,1,0
GSE86958,MONDO_0000376,1,0.0,1,0
GSE32726,MONDO_0000376,1,0.0,1,0
GSE85118,MONDO_0000376,1,0.0,1,0
GSE81089,MONDO_0000376,1,0.0,1,0
GSE95558,MONDO_0000376,1,0.0,1,0
GSE70968,MONDO_0000376,1,0.0,1,0
GSE89843,MONDO_0000376,1,0.0,1,0
GSE104854,MONDO_0000376,1,0.0,1,0
GSE36597,MONDO_0000376,1,0.0,1,0
GSE79210,MONDO_0000376,1,0.0,1,0
GSE64513,MONDO_0000376,1,0.0,1,0
GSE94518,MONDO_0000376,1,0.0,1,0
GSE37764,MONDO_0000376,1,0.0,1,0
GSE83888,MONDO_0000376,1,0.0,1,0
GSE83501,MONDO_0000376,1,0.0,1,0
GSE80802,MONDO_0000376,1,0.0,1,0
GSE86874,MONDO_0000376,1,0.0,1,0
GSE79209,MONDO_0000376,1,0.0,1,0
GSE81167,MONDO_0000376,1,0.0,1,0
GSE39121,MONDO_0000376,1,0.0,1,0
GSE84789,MONDO_0000376,1,0.0,1,0
GSE94405,MONDO_0000376,1,0.0,1,0
GSE57681,MONDO_0000376,1,0.0,1,0
GSE68919,MONDO_0000376,1,0.0,1,0
GSE97168,MONDO_0000376,1,0.0,1,0
GSE77219,MONDO_0000376,1,0.0,1,0
GSE90781,MONDO_0000376,1,0.0,1,0
GSE83717,MONDO_0000376,1,0.0,1,0
GSE49155,MONDO_0000376,1,0.0,1,0
GSE86956,MONDO_0000376,1,0.0,1,0
GSE56356,MONDO_0000376,1,0.0,1,0
GSE103016,MONDO_0000376,1,0.0,1,0
GSE99149,MONDO_0000376,1,0.0,1,0
GSE80182,MONDO_0000376,1,0.0,1,0
GSE29006,MONDO_0000376,1,0.0,1,0
GSE52248,MONDO_0000376,1,0.0,1,0
GSE38945,MONDO_0000376,1,0.0,1,0
GSE101558,MONDO_0000376,1,0.0,1,0
GSE56231,MONDO_0000376,1,0.0,1,0
GSE85001,MONDO_0000376,1,0.0,1,0
GSE84852,MONDO_0000376,1,0.0,1,0
GSE74484,MONDO_0000376,1,0.0,1,0
GSE72956,MONDO_0000376,1,0.0,1,0
GSE90728,MONDO_0000376,1,0.0,1,0
GSE72001,MONDO_0000376,1,0.0,1,0
GSE87340,MONDO_0000376,1,0.0,1,0
GSE57148,MONDO_0000376,1,0.0,1,0
GSE81687,MONDO_0000376,1,0.0,1,0
GSE60052,MONDO_0000376,1,0.0,1,0
GSE84776,MONDO_0000376,1,0.0,1,0
GSE74866,MONDO_0000376,1,0.0,1,0
GSE94937,MONDO_0000376,1,0.0,1,0
GSE94555,MONDO_0000376,1,0.0,1,0
GSE86618,MONDO_0000376,1,0.0,1,0
