ID,child,parent,parent_hit
GSE74639,MONDO_0000376,MONDO_0004992,False
GSE84339,MONDO_0000376,MONDO_0004992,False
GSE96106,MONDO_0000376,MONDO_0004992,False
GSE68795,MONDO_0000376,MONDO_0004992,False
GSE34914,MONDO_0000376,MONDO_0004992,False
GSE83492,MONDO_0000376,MONDO_0004992,False
GSE88943,MONDO_0000376,MONDO_0004992,False
GSE73555,MONDO_0000376,MONDO_0004992,False
GSE86958,MONDO_0000376,MONDO_0004992,False
GSE32726,MONDO_0000376,MONDO_0004992,False
GSE85118,MONDO_0000376,MONDO_0004992,False
GSE81089,MONDO_0000376,MONDO_0004992,False
GSE95558,MONDO_0000376,MONDO_0004992,False
GSE70968,MONDO_0000376,MONDO_0004992,False
GSE89843,MONDO_0000376,MONDO_0004992,False
GSE104854,MONDO_0000376,MONDO_0004992,False
GSE36597,MONDO_0000376,MONDO_0004992,False
GSE79210,MONDO_0000376,MONDO_0004992,False
GSE64513,MONDO_0000376,MONDO_0004992,False
GSE94518,MONDO_0000376,MONDO_0004992,False
GSE37764,MONDO_0000376,MONDO_0004992,False
GSE83888,MONDO_0000376,MONDO_0004992,False
GSE83501,MONDO_0000376,MONDO_0004992,False
GSE80802,MONDO_0000376,MONDO_0004992,False
GSE86874,MONDO_0000376,MONDO_0004992,False
GSE79209,MONDO_0000376,MONDO_0004992,False
GSE81167,MONDO_0000376,MONDO_0004992,False
GSE39121,MONDO_0000376,MONDO_0004992,False
GSE84789,MONDO_0000376,MONDO_0004992,False
GSE94405,MONDO_0000376,MONDO_0004992,False
GSE57681,MONDO_0000376,MONDO_0004992,False
GSE68919,MONDO_0000376,MONDO_0004992,False
GSE97168,MONDO_0000376,MONDO_0004992,False
GSE77219,MONDO_0000376,MONDO_0004992,False
GSE90781,MONDO_0000376,MONDO_0004992,False
GSE83717,MONDO_0000376,MONDO_0004992,False
GSE49155,MONDO_0000376,MONDO_0004992,False
GSE86956,MONDO_0000376,MONDO_0004992,False
GSE56356,MONDO_0000376,MONDO_0004992,False
GSE103016,MONDO_0000376,MONDO_0004992,False
GSE99149,MONDO_0000376,MONDO_0004992,False
GSE80182,MONDO_0000376,MONDO_0004992,False
GSE29006,MONDO_0000376,MONDO_0004992,False
GSE52248,MONDO_0000376,MONDO_0004992,False
