ID,term,depth,coverage,n_ancestors,n_ancestors_hit
GSE59831,MONDO_0000376,1,0.0,1,0
GSE51144,MONDO_0000376,1,0.0,1,0
GSE83991,MONDO_0000376,1,0.0,1,0
GSE70046,MONDO_0000376,1,0.0,1,0
GSE104264,MONDO_0000376,1,0.0,1,0
GSE94306,MONDO_0000376,1,0.0,1,0
GSE78184,MONDO_0000376,1,0.0,1,0
GSE76033,MONDO_0000376,1,0.0,1,0
GSE97196,MONDO_0000376,1,0.0,1,0
GSE87387,MONDO_0000376,1,0.0,1,0
GSE98048,MONDO_0000376,1,0.0,1,0
GSE88908,MONDO_0000376,1,0.0,1,0
GSE101334,MONDO_0000376,1,0.0,1,0
GSE63758,MONDO_0000376,1,0.0,1,0
GSE64027,MONDO_0000376,1,0.0,1,0
GSE99235,MONDO_0000376,1,0.0,1,0
GSE109238,MONDO_0000376,1,0.0,1,0
GSE61300,MONDO_0000376,1,0.0,1,0
GSE107470,MONDO_0000376,1,0.0,1,0
GSE80101,MONDO_0000376,1,0.0,1,0
GSE84383,MONDO_0000376,1,0.0,1,0
GSE84447,MONDO_0000376,1,0.0,1,0
GSE104294,MONDO_0000376,1,0.0,1,0
GSE92891,MONDO_0000376,1,0.0,1,0
GSE66634,MONDO_0000376,1,0.0,1,0
GSE121611,MONDO_0000376,1,0.0,1,0
GSE56292,MONDO_0000376,1,0.0,1,0
GSE90969,MONDO_0000376,1,0.0,1,0
GSE88836,MONDO_0000376,1,0.0,1,0
GSE85131,MONDO_0000376,1,0.0,1,0
GSE94857,MONDO_0000376,1,0.0,1,0
GSE90697,MONDO_0000376,1,0.0,1,0
GSE52854,MONDO_0000376,1,0.0,1,0
GSE124872,MONDO_0000376,1,0.0,1,0
GSE72942,MONDO_0000376,1,0.0,1,0
GSE94749,MONDO_0000376,1,0.0,1,0
GSE80707,MONDO_0000376,1,0.0,1,0
GSE43028,MONDO_0000376,1,0.0,1,0
GSE92304,MONDO_0000376,1,0.0,1,0
GSE94685,MONDO_0000376,1,0.0,1,0
GSE71877,MONDO_0000376,1,0.0,1,0
GSE84448,MONDO_0000376,1,0.0,1,0
GSE86339,MONDO_0000376,1,0.0,1,0
GSE67647,MONDO_0000376,1,0.0,1,0
GSE78948,MONDO_0000376,1,0.0,1,0
GSE76205,MONDO_0000376,1,0.0,1,0
GSE106349,MONDO_0000376,1,0.0,1,0
GSE87602,MONDO_0000376,1,0.0,1,0
GSE82005,MONDO_0000376,1,0.0,1,0
GSE82158,MONDO_0000376,1,0.0,1,0
GSE42564,MONDO_0000376,1,0.0,1,0
GSE38838,MONDO_0000376,1,0.0,1,0
GSE57043,MONDO_0000376,1,0.0,1,0
GSE71629,MONDO_0000376,1,0.0,1,0
GSE57391,MONDO_0000376,1,0.0,1,0
GSE87681,MONDO_0000376,1,0.0,1,0
GSE93339,MONDO_0000376,1,0.0,1,0
GSE101696,MONDO_0000376,1,0.0,1,0
GSE97054,MONDO_0000376,1,0.0,1,0
GSE70819,MONDO_0000376,1,0.0,1,0
GSE52594,MONDO_0000376,1,0.0,1,0
GSE122331,MONDO_0000376,1,0.0,1,0
GSE76772,MONDO_0000376,1,0.0,1,0
GSE70020,MONDO_0000376,1,0.0,1,0
GSE73932,MONDO_0000376,1,0.0,1,0
GSE90148,MONDO_0000376,1,0.0,1,0
GSE59831,MONDO_0000402,3,0.5,4,2
GSE83991,MONDO_0000402,3,0.5,4,2
GSE82005,MONDO_0000402,3,0.75,4,3
GSE94306,MONDO_0000402,3,0.25,4,1
GSE104264,MONDO_0000402,3,0.5,4,2
GSE78184,MONDO_0000402,3,0.25,4,1
GSE70046,MONDO_0000402,3,0.5,4,2
GSE97196,MONDO_0000402,3,0.0,4,0
GSE88908,MONDO_0000402,3,0.0,4,0
GSE87387,MONDO_0000402,3,0.5,4,2
GSE51144,MONDO_0000402,3,0.25,4,1
GSE68472,MONDO_0000548,3,0.6666666666666666,6,4
GSE86301,MONDO_0000616,4,0.6666666666666666,6,4
