ID,child,parent,child_score,parent_score,delta,child_gt_parent
GSE59831,MONDO_0000376,MONDO_0004992,4.247651594080503,0.5091449571886644,3.738506636891839,True
GSE51144,MONDO_0000376,MONDO_0004992,4.154444100509993,0.4539243375332773,3.7005197629767155,True
GSE83991,MONDO_0000376,MONDO_0004992,3.8691990501955056,-0.1964975974455868,4.065696647641093,True
GSE70046,MONDO_0000376,MONDO_0004992,3.6175734622213054,0.3719230212770725,3.245650440944233,True
GSE104264,MONDO_0000376,MONDO_0004992,3.563859769004193,0.3321651718998631,3.23169459710433,True
GSE94306,MONDO_0000376,MONDO_0004992,3.4391078476099937,-0.6299654812609689,4.069073328870963,True
GSE78184,MONDO_0000376,MONDO_0004992,3.2634494686407334,-0.561773346611976,3.8252228152527095,True
GSE76033,MONDO_0000376,MONDO_0004992,3.179086745965363,0.3774958047693489,2.801590941196014,True
GSE97196,MONDO_0000376,MONDO_0004992,3.11955255296119,-0.4719216345323284,3.5914741874935183,True
GSE87387,MONDO_0000376,MONDO_0004992,3.10914852568323,0.1484878316117898,2.96066069407144,True
GSE98048,MONDO_0000376,MONDO_0004992,3.06114841983781,0.1758024511306267,2.8853459687071834,True
GSE88908,MONDO_0000376,MONDO_0004992,3.039797875765644,-0.9059021693020044,3.9457000450676487,True
GSE101334,MONDO_0000376,MONDO_0004992,2.963023075962217,-0.2566898729214824,3.2197129488836995,True
GSE63758,MONDO_0000376,MONDO_0004992,2.8763278928592886,0.2119925785092051,2.6643353143500836,True
GSE64027,MONDO_0000376,MONDO_0004992,2.843956589626174,-0.4989397247819476,3.3428963144081214,True
GSE99235,MONDO_0000376,MONDO_0004992,2.8420787957671774,-0.2452478875816266,3.087326683348804,True
GSE109238,MONDO_0000376,MONDO_0004992,2.800639264375822,-0.5938502991806097,3.394489563556432,True
GSE61300,MONDO_0000376,MONDO_0004992,2.781583122388988,-0.255584790282546,3.037167912671534,True
GSE107470,MONDO_0000376,MONDO_0004992,2.621815715659411,-0.7549609039418504,3.3767766196012614,True
GSE80101,MONDO_0000376,MONDO_0004992,2.603575642581709,-0.5389530680484185,3.1425287106301276,True
GSE84383,MONDO_0000376,MONDO_0004992,2.582442691071814,-0.4164250504425691,2.998867741514383,True
GSE84447,MONDO_0000376,MONDO_0004992,2.502870581270334,0.5039576614092116,1.9989129198611222,True
GSE104294,MONDO_0000376,MONDO_0004992,2.493165858847584,-0.3102639619363055,2.8034298207838897,True
GSE92891,MONDO_0000376,MONDO_0004992,2.4479419690939976,-0.806564821206741,3.2545067903007387,True
GSE66634,MONDO_0000376,MONDO_0004992,2.4144712031149447,-1.3574621677351657,3.7719333708501104,True
GSE121611,MONDO_0000376,MONDO_0004992,2.3605794163807863,-1.129352712475537,3.4899321288563234,True
GSE56292,MONDO_0000376,MONDO_0004992,2.329423606701188,-0.9690188065377314,3.2984424132389196,True
GSE90969,MONDO_0000376,MONDO_0004992,2.310093656026188,-0.5995896518919811,2.9096833079181694,True
GSE88836,MONDO_0000376,MONDO_0004992,2.3063725782709774,-0.4792218253827576,2.785594403653735,True
GSE85131,MONDO_0000376,MONDO_0004992,2.294451323883305,0.1780592852043429,2.116392038678962,True
GSE94857,MONDO_0000376,MONDO_0004992,2.218767134411538,-0.6428918915625226,2.8616590259740606,True
GSE90697,MONDO_0000376,MONDO_0004992,2.2018148992111533,-0.3838329101053094,2.5856478093164625,True
GSE52854,MONDO_0000376,MONDO_0004992,2.19370211426429,-1.3218106544259882,3.5155127686902783,True
GSE124872,MONDO_0000376,MONDO_0004992,2.174547335941697,-0.57390750562882,2.748454841570517,True
GSE72942,MONDO_0000376,MONDO_0004992,2.138320137876703,-0.1367520489241174,2.275072186800821,True
GSE94749,MONDO_0000376,MONDO_0004992,2.087453475860331,-0.880809538397227,2.968263014257558,True
GSE80707,MONDO_0000376,MONDO_0004992,2.072981884666008,-0.8023739083039451,2.875355792969953,True
GSE43028,MONDO_0000376,MONDO_0004992,2.0544767178945404,-0.0479149972036939,2.1023917150982343,True
GSE92304,MONDO_0000376,MONDO_0004992,2.002333546505121,-0.6715652706989944,2.6738988172041154,True
GSE94685,MONDO_0000376,MONDO_0004992,1.99109646947524,-0.8530595465914617,2.8441560160667017,True
GSE71877,MONDO_0000376,MONDO_0004992,1.9687722558510377,0.2780223219616026,1.690749933889435,True
GSE84448,MONDO_0000376,MONDO_0004992,1.914432431107837,-0.1805745489014674,2.0950069800093045,True
GSE86339,MONDO_0000376,MONDO_0004992,1.900987068531995,-0.7638466693361812,2.664833737868176,True
GSE67647,MONDO_0000376,MONDO_0004992,1.7717503955637317,0.3831145967873052,1.3886357987764266,True
GSE78948,MONDO_0000376,MONDO_0004992,1.7618300804283735,0.0504646801562059,1.7113654002721677,True
GSE76205,MONDO_0000376,MONDO_0004992,1.7578498503018245,-1.4719104272706651,3.2297602775724896,True
GSE106349,MONDO_0000376,MONDO_0004992,1.7350878282545212,-0.9415737744510232,2.6766616027055443,True
GSE87602,MONDO_0000376,MONDO_0004992,1.7043419282083874,-1.4059875400412862,3.110329468249674,True
GSE82005,MONDO_0000376,MONDO_0004992,1.590191823406265,-0.1268922461867841,1.7170840695930492,True
GSE82158,MONDO_0000376,MONDO_0004992,1.580549802430565,-1.1879030586074797,2.7684528610380448,True
GSE42564,MONDO_0000376,MONDO_0004992,1.5635527329397525,-1.5734695265747518,3.137022259514504,True
GSE38838,MONDO_0000376,MONDO_0004992,1.5216686313854575,-1.26229340392884,2.7839620353142975,True
