ID,child,parent,parent_hit
GSE59831,MONDO_0000376,MONDO_0004992,False
GSE51144,MONDO_0000376,MONDO_0004992,False
GSE83991,MONDO_0000376,MONDO_0004992,False
GSE70046,MONDO_0000376,MONDO_0004992,False
GSE104264,MONDO_0000376,MONDO_0004992,False
GSE94306,MONDO_0000376,MONDO_0004992,False
GSE78184,MONDO_0000376,MONDO_0004992,False
GSE76033,MONDO_0000376,MONDO_0004992,False
GSE97196,MONDO_0000376,MONDO_0004992,False
GSE87387,MONDO_0000376,MONDO_0004992,False
GSE98048,MONDO_0000376,MONDO_0004992,False
GSE88908,MONDO_0000376,MONDO_0004992,False
GSE101334,MONDO_0000376,MONDO_0004992,False
GSE63758,MONDO_0000376,MONDO_0004992,False
GSE64027,MONDO_0000376,MONDO_0004992,False
GSE99235,MONDO_0000376,MONDO_0004992,False
GSE109238,MONDO_0000376,MONDO_0004992,False
GSE61300,MONDO_0000376,MONDO_0004992,False
GSE107470,MONDO_0000376,MONDO_0004992,False
GSE80101,MONDO_0000376,MONDO_0004992,False
GSE84383,MONDO_0000376,MONDO_0004992,False
GSE84447,MONDO_0000376,MONDO_0004992,False
GSE104294,MONDO_0000376,MONDO_0004992,False
GSE92891,MONDO_0000376,MONDO_0004992,False
GSE66634,MONDO_0000376,MONDO_0004992,False
GSE121611,MONDO_0000376,MONDO_0004992,False
GSE56292,MONDO_0000376,MONDO_0004992,False
GSE90969,MONDO_0000376,MONDO_0004992,False
GSE88836,MONDO_0000376,MONDO_0004992,False
GSE85131,MONDO_0000376,MONDO_0004992,False
GSE94857,MONDO_0000376,MONDO_0004992,False
GSE90697,MONDO_0000376,MONDO_0004992,False
GSE52854,MONDO_0000376,MONDO_0004992,False
GSE124872,MONDO_0000376,MONDO_0004992,False
GSE72942,MONDO_0000376,MONDO_0004992,False
GSE94749,MONDO_0000376,MONDO_0004992,False
GSE80707,MONDO_0000376,MONDO_0004992,False
GSE43028,MONDO_0000376,MONDO_0004992,False
GSE92304,MONDO_0000376,MONDO_0004992,False
GSE94685,MONDO_0000376,MONDO_0004992,False
GSE71877,MONDO_0000376,MONDO_0004992,False
GSE84448,MONDO_0000376,MONDO_0004992,False
GSE86339,MONDO_0000376,MONDO_0004992,False
GSE67647,MONDO_0000376,MONDO_0004992,False
GSE78948,MONDO_0000376,MONDO_0004992,False
GSE76205,MONDO_0000376,MONDO_0004992,False
GSE106349,MONDO_0000376,MONDO_0004992,False
GSE87602,MONDO_0000376,MONDO_0004992,False
GSE82005,MONDO_0000376,MONDO_0004992,False
GSE82158,MONDO_0000376,MONDO_0004992,False
GSE42564,MONDO_0000376,MONDO_0004992,False
GSE38838,MONDO_0000376,MONDO_0004992,False
GSE57043,MONDO_0000376,MONDO_0004992,False
GSE71629,MONDO_0000376,MONDO_0004992,False
GSE57391,MONDO_0000376,MONDO_0004992,False
GSE87681,MONDO_0000376,MONDO_0004992,False
GSE93339,MONDO_0000376,MONDO_0004992,False
GSE101696,MONDO_0000376,MONDO_0004992,False
GSE97054,MONDO_0000376,MONDO_0004992,False
GSE70819,MONDO_0000376,MONDO_0004992,False
GSE52594,MONDO_0000376,MONDO_0004992,False
GSE122331,MONDO_0000376,MONDO_0004992,False
GSE76772,MONDO_0000376,MONDO_0004992,False
GSE70020,MONDO_0000376,MONDO_0004992,False
GSE73932,MONDO_0000376,MONDO_0004992,False
GSE90148,MONDO_0000376,MONDO_0004992,False
GSE59831,MONDO_0000402,MONDO_0002120,True
GSE83991,MONDO_0000402,MONDO_0002120,True
GSE82005,MONDO_0000402,MONDO_0002120,True
GSE94306,MONDO_0000402,MONDO_0002120,True
GSE104264,MONDO_0000402,MONDO_0002120,True
GSE78184,MONDO_0000402,MONDO_0002120,True
GSE70046,MONDO_0000402,MONDO_0002120,True
GSE97196,MONDO_0000402,MONDO_0002120,False
GSE88908,MONDO_0000402,MONDO_0002120,False
GSE87387,MONDO_0000402,MONDO_0002120,True
GSE51144,MONDO_0000402,MONDO_0002120,False
GSE68472,MONDO_0000548,MONDO_0018364,True
GSE86301,MONDO_0000616,MONDO_0006116,True
GSE101994,MONDO_0000616,MONDO_0006116,False
GSE81941,MONDO_0000616,MONDO_0006116,True
GSE76075,MONDO_0000616,MONDO_0006116,True
GSE86301,MONDO_0000618,MONDO_0006116,True
GSE81941,MONDO_0000618,MONDO_0006116,True
GSE76075,MONDO_0000618,MONDO_0006116,True
GSE72480,MONDO_0000618,MONDO_0006116,True
GSE101994,MONDO_0000618,MONDO_0006116,False
GSE67071,MONDO_0000618,MONDO_0006116,True
GSE87870,MONDO_0000621,MONDO_0004992,False
GSE105159,MONDO_0000621,MONDO_0004992,False
GSE49087,MONDO_0000621,MONDO_0004992,False
GSE63312,MONDO_0000621,MONDO_0004992,False
GSE49088,MONDO_0000621,MONDO_0004992,False
GSE68461,MONDO_0000621,MONDO_0004992,False
GSE79068,MONDO_0000621,MONDO_0004992,False
GSE81329,MONDO_0000621,MONDO_0004992,False
GSE80745,MONDO_0000621,MONDO_0004992,False
GSE81420,MONDO_0000621,MONDO_0004992,False
GSE97389,MONDO_0000621,MONDO_0004992,False
GSE77847,MONDO_0000621,MONDO_0004992,False
GSE90059,MONDO_0000621,MONDO_0004992,False
GSE77846,MONDO_0000621,MONDO_0004992,False
GSE81421,MONDO_0000621,MONDO_0004992,False
GSE72737,MONDO_0000621,MONDO_0004992,False
GSE90067,MONDO_0000621,MONDO_0004992,False
GSE90655,MONDO_0000621,MONDO_0004992,False
GSE97450,MONDO_0000621,MONDO_0004992,False
GSE48048,MONDO_0000621,MONDO_0004992,False
GSE85193,MONDO_0000621,MONDO_0004992,False
GSE88905,MONDO_0000621,MONDO_0004992,False
GSE74064,MONDO_0000621,MONDO_0004992,False
GSE71531,MONDO_0000621,MONDO_0004992,False
GSE74018,MONDO_0000621,MONDO_0004992,False
GSE71185,MONDO_0000621,MONDO_0004992,False
GSE57147,MONDO_0000621,MONDO_0004992,False
GSE94840,MONDO_0000621,MONDO_0004992,False
GSE84873,MONDO_0000621,MONDO_0004992,False
GSE90136,MONDO_0000621,MONDO_0004992,False
GSE63751,MONDO_0000621,MONDO_0004992,False
GSE74650,MONDO_0000621,MONDO_0004992,False
GSE78691,MONDO_0000621,MONDO_0004992,False
GSE78224,MONDO_0000621,MONDO_0004992,False
GSE65383,MONDO_0000621,MONDO_0004992,False
GSE68462,MONDO_0000621,MONDO_0004992,False
GSE96061,MONDO_0000621,MONDO_0004992,False
GSE64545,MONDO_0000621,MONDO_0004992,False
GSE87623,MONDO_0000621,MONDO_0004992,False
GSE100820,MONDO_0000621,MONDO_0004992,False
