ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,score_human,score_mouse,pair_type,depth_human,depth_mouse,lca_depth,tree_distance
GSE100925,GSE31223,MONDO_0004989,MONDO_0004989,3.978429962143868,1.5241017579263578,matched,2,2,2,0
GSE100925,GSE41286,MONDO_0004989,MONDO_0004989,3.978429962143868,1.055383358525064,matched,2,2,2,0
GSE100925,GSE57804,MONDO_0004989,MONDO_0004989,3.978429962143868,1.5395035340354803,matched,2,2,2,0
GSE100925,GSE72480,MONDO_0004989,MONDO_0004989,3.978429962143868,2.412380440757405,matched,2,2,2,0
GSE100925,GSE72823,MONDO_0004989,MONDO_0004989,3.978429962143868,1.5232153344354988,matched,2,2,2,0
GSE100925,GSE77107,MONDO_0004989,MONDO_0004989,3.978429962143868,1.5455646026401952,matched,2,2,2,0
GSE100925,GSE86301,MONDO_0004989,MONDO_0004989,3.978429962143868,3.942355102552644,matched,2,2,2,0
GSE101419,GSE68220,MONDO_0001187,MONDO_0001187,2.101266696532556,2.417962469961965,matched,2,2,2,0
GSE101419,GSE74138,MONDO_0001187,MONDO_0001187,2.101266696532556,1.325259061760668,matched,2,2,2,0
GSE101419,GSE85491,MONDO_0001187,MONDO_0001187,2.101266696532556,1.8316092703389697,matched,2,2,2,0
GSE101419,GSE89823,MONDO_0001187,MONDO_0001187,2.101266696532556,2.8270163999397973,matched,2,2,2,0
GSE101480,GSE100820,MONDO_0018874,MONDO_0018874,4.857970123045057,2.991231406337651,matched,5,5,5,0
GSE101480,GSE105159,MONDO_0018874,MONDO_0018874,4.857970123045057,4.685460422990524,matched,5,5,5,0
GSE101480,GSE48048,MONDO_0018874,MONDO_0018874,4.857970123045057,3.927472384547234,matched,5,5,5,0
GSE101480,GSE49087,MONDO_0018874,MONDO_0018874,4.857970123045057,4.573681714332924,matched,5,5,5,0
GSE101480,GSE49088,MONDO_0018874,MONDO_0018874,4.857970123045057,4.394218452802569,matched,5,5,5,0
GSE101480,GSE57147,MONDO_0018874,MONDO_0018874,4.857970123045057,3.3293446737709025,matched,5,5,5,0
GSE101480,GSE63312,MONDO_0018874,MONDO_0018874,4.857970123045057,4.460140980264469,matched,5,5,5,0
GSE101480,GSE65383,MONDO_0018874,MONDO_0018874,4.857970123045057,3.085891003287954,matched,5,5,5,0
GSE101480,GSE68461,MONDO_0018874,MONDO_0018874,4.857970123045057,4.415234629264566,matched,5,5,5,0
GSE101480,GSE68462,MONDO_0018874,MONDO_0018874,4.857970123045057,2.872725846737414,matched,5,5,5,0
GSE101480,GSE71185,MONDO_0018874,MONDO_0018874,4.857970123045057,3.325328582854062,matched,5,5,5,0
GSE101480,GSE71531,MONDO_0018874,MONDO_0018874,4.857970123045057,3.81124235629158,matched,5,5,5,0
GSE101480,GSE72737,MONDO_0018874,MONDO_0018874,4.857970123045057,4.228415228932517,matched,5,5,5,0
GSE101480,GSE74018,MONDO_0018874,MONDO_0018874,4.857970123045057,3.7791955624791607,matched,5,5,5,0
GSE101480,GSE77846,MONDO_0018874,MONDO_0018874,4.857970123045057,4.416917385996621,matched,5,5,5,0
GSE101480,GSE77847,MONDO_0018874,MONDO_0018874,4.857970123045057,4.414218732471825,matched,5,5,5,0
GSE101480,GSE77967,MONDO_0018874,MONDO_0018874,4.857970123045057,1.980944618941855,matched,5,5,5,0
GSE101480,GSE78691,MONDO_0018874,MONDO_0018874,4.857970123045057,3.436333055630881,matched,5,5,5,0
GSE101480,GSE79068,MONDO_0018874,MONDO_0018874,4.857970123045057,4.053585190130817,matched,5,5,5,0
GSE101480,GSE80745,MONDO_0018874,MONDO_0018874,4.857970123045057,4.354018358994531,matched,5,5,5,0
GSE101480,GSE81329,MONDO_0018874,MONDO_0018874,4.857970123045057,4.3282380718451625,matched,5,5,5,0
GSE101480,GSE81420,MONDO_0018874,MONDO_0018874,4.857970123045057,4.672255011508943,matched,5,5,5,0
GSE101480,GSE81421,MONDO_0018874,MONDO_0018874,4.857970123045057,4.555775039759062,matched,5,5,5,0
GSE101480,GSE85193,MONDO_0018874,MONDO_0018874,4.857970123045057,4.16837069433296,matched,5,5,5,0
GSE101480,GSE87870,MONDO_0018874,MONDO_0018874,4.857970123045057,4.9152276967838535,matched,5,5,5,0
GSE101480,GSE88905,MONDO_0018874,MONDO_0018874,4.857970123045057,3.5580997999231685,matched,5,5,5,0
GSE101480,GSE90136,MONDO_0018874,MONDO_0018874,4.857970123045057,3.926579939355463,matched,5,5,5,0
GSE101480,GSE94840,MONDO_0018874,MONDO_0018874,4.857970123045057,3.5503852489935657,matched,5,5,5,0
GSE101480,GSE96061,MONDO_0018874,MONDO_0018874,4.857970123045057,2.8893112689031697,matched,5,5,5,0
GSE101480,GSE97078,MONDO_0018874,MONDO_0018874,4.857970123045057,2.552996681043492,matched,5,5,5,0
GSE101480,GSE97389,MONDO_0018874,MONDO_0018874,4.857970123045057,3.826421464669248,matched,5,5,5,0
GSE101480,GSE97450,MONDO_0018874,MONDO_0018874,4.857970123045057,3.769088585457327,matched,5,5,5,0
GSE101526,GSE100276,MONDO_0005575,MONDO_0005575,1.9104447945331224,3.5008860696372697,matched,3,3,3,0
GSE101526,GSE60837,MONDO_0005575,MONDO_0005575,1.9104447945331224,3.7276323927864814,matched,3,3,3,0
GSE101526,GSE78696,MONDO_0005575,MONDO_0005575,1.9104447945331224,4.103834393663368,matched,3,3,3,0
GSE101526,GSE81212,MONDO_0005575,MONDO_0005575,1.9104447945331224,1.4238668989676864,matched,3,3,3,0
GSE101526,GSE86895,MONDO_0005575,MONDO_0005575,1.9104447945331224,2.542893678204769,matched,3,3,3,0
GSE101528,GSE68472,MONDO_0008170,MONDO_0008170,1.0356408646865614,3.232237888754923,matched,3,3,3,0
GSE101665,GSE100981,MONDO_0009831,MONDO_0009831,4.2858140154395015,2.785654046002054,matched,2,2,2,0
GSE101665,GSE106901,MONDO_0009831,MONDO_0009831,4.2858140154395015,2.2073039907770218,matched,2,2,2,0
GSE101665,GSE108811,MONDO_0009831,MONDO_0009831,4.2858140154395015,3.840439309773752,matched,2,2,2,0
GSE101665,GSE40171,MONDO_0009831,MONDO_0009831,4.2858140154395015,3.4669804046272645,matched,2,2,2,0
GSE101665,GSE51372,MONDO_0009831,MONDO_0009831,4.2858140154395015,3.4378683463453816,matched,2,2,2,0
GSE101665,GSE63526,MONDO_0009831,MONDO_0009831,4.2858140154395015,3.499742311168116,matched,2,2,2,0
GSE101665,GSE66551,MONDO_0009831,MONDO_0009831,4.2858140154395015,1.0520368705015588,matched,2,2,2,0
GSE101665,GSE72069,MONDO_0009831,MONDO_0009831,4.2858140154395015,1.6538124170262154,matched,2,2,2,0
GSE101665,GSE72990,MONDO_0009831,MONDO_0009831,4.2858140154395015,1.7560335187735931,matched,2,2,2,0
GSE101665,GSE74429,MONDO_0009831,MONDO_0009831,4.2858140154395015,2.590082974032878,matched,2,2,2,0
GSE101665,GSE74490,MONDO_0009831,MONDO_0009831,4.2858140154395015,5.527179305754368,matched,2,2,2,0
GSE101665,GSE76498,MONDO_0009831,MONDO_0009831,4.2858140154395015,4.333921116063412,matched,2,2,2,0
GSE101665,GSE76992,MONDO_0009831,MONDO_0009831,4.2858140154395015,1.7246120736900592,matched,2,2,2,0
GSE101665,GSE77083,MONDO_0009831,MONDO_0009831,4.2858140154395015,4.18424915256352,matched,2,2,2,0
GSE101665,GSE77410,MONDO_0009831,MONDO_0009831,4.2858140154395015,1.26695661687392,matched,2,2,2,0
GSE101665,GSE77896,MONDO_0009831,MONDO_0009831,4.2858140154395015,2.137767178998666,matched,2,2,2,0
