ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,log2(prob/prior)_human,log2(prob/prior)_mouse,depth_human,depth_mouse,pair_type
GSE46164,GSE72942,MONDO_0018874,MONDO_0005233,4.743384003394027,2.300083368946061,5,3,random
GSE86165,GSE38539,MONDO_0005575,MONDO_0002108,1.6796532417593124,2.80346972569896,3,2,random
GSE72061,GSE41293,MONDO_0018874,MONDO_0005089,4.588648818763313,3.832009852723407,5,1,random
GSE48159,GSE77967,MONDO_0006513,MONDO_0018874,2.2945999708348213,1.980944618941855,4,5,random
GSE35178,GSE71217,MONDO_0001187,MONDO_0000621,2.9568524843205988,1.0582941644188943,2,1,random
GSE103567,GSE48048,MONDO_0009693,MONDO_0018874,2.902192772448374,3.927472384547234,2,5,random
GSE52194,GSE72480,MONDO_0006116,MONDO_0004989,4.992426516717609,2.412380440757405,3,2,random
GSE89225,GSE80087,MONDO_0004989,MONDO_0100342,4.646663655622873,3.275844405550001,2,2,random
GSE65485,GSE90625,MONDO_0007256,MONDO_0009831,4.338894031969107,2.094764112928915,3,2,random
GSE76747,GSE70046,MONDO_0018874,MONDO_0005061,2.4354738670682194,3.8686145352827466,5,3,random
GSE87617,GSE63679,MONDO_0018177,MONDO_0005089,2.211004179068527,1.263484429046463,4,1,random
GSE41245,GSE78691,MONDO_0007254,MONDO_0018874,2.569329005244993,3.436333055630881,2,5,random
GSE80802,GSE54246,MONDO_0008903,MONDO_0005096,3.4656781284902007,3.3932404556549645,2,2,random
GSE45419,GSE49088,MONDO_0004989,MONDO_0018874,2.5866640563817005,4.394218452802569,2,5,random
GSE53470,GSE86895,MONDO_0008315,MONDO_0005575,2.719387851111295,2.542893678204769,3,3,random
GSE75215,GSE77896,MONDO_0018874,MONDO_0009831,2.772740729911296,2.137767178998666,5,2,random
GSE78011,GSE49088,MONDO_0004989,MONDO_0018874,4.116510064466838,4.394218452802569,2,5,random
GSE93057,GSE71304,MONDO_0004989,MONDO_0021063,4.692250208634247,1.0680345040360992,2,4,random
GSE84432,GSE67071,MONDO_0008315,MONDO_0007254,3.4555667161299866,2.288089085126068,3,2,random
GSE81493,GSE75300,MONDO_0008315,MONDO_0020665,4.240237564069816,3.673412300773384,3,1,random
GSE63183,GSE79014,MONDO_0006295,MONDO_0008315,4.580361237296743,1.44468936594353,1,3,random
GSE72956,GSE80745,MONDO_0005233,MONDO_0018874,2.459193465196384,4.354018358994531,3,5,random
GSE58586,GSE90059,MONDO_0008170,MONDO_0004643,2.2384778955313567,3.620433071999782,3,4,random
GSE88943,GSE49088,MONDO_0005233,MONDO_0018874,4.273482747042186,4.394218452802569,3,5,random
GSE75741,GSE71843,MONDO_0004989,MONDO_0005089,3.239755197923324,2.869130899674688,2,1,random
GSE103790,GSE76184,MONDO_0016680,MONDO_0020665,1.8126211037040707,2.907458976408594,3,1,random
GSE71070,GSE78691,MONDO_0008315,MONDO_0018874,4.658192043832705,3.436333055630881,3,5,random
GSE89930,GSE63681,MONDO_0009807,MONDO_0000621,1.316286630940381,1.287298778601344,2,1,random
GSE126007,GSE106901,MONDO_0006325,MONDO_0009831,3.2003293363415883,2.2073039907770218,3,2,random
GSE95299,GSE76184,MONDO_0004989,MONDO_0020665,3.7566978308118806,2.907458976408594,2,1,random
GSE90463,GSE108811,MONDO_0005159,MONDO_0009831,5.659836290101639,3.840439309773752,2,2,random
GSE63122,GSE72737,MONDO_0002108,MONDO_0018874,2.275161662538266,4.228415228932517,2,5,random
GSE70073,GSE85810,MONDO_0008170,MONDO_0007254,4.6033028292953055,2.08764346080727,3,2,random
GSE94502,GSE90136,MONDO_0005089,MONDO_0018874,1.9847337844080808,3.926579939355463,1,5,random
GSE53470,GSE81476,MONDO_0008315,MONDO_0005089,2.719387851111295,3.005063337312499,3,1,random
