run,node_id,feature,class_distribution,top_words,bootstrap_indices
0,0,25,"[1.0, 2.0]","[('understanding', -1.0), ('immuneorchestrated', -1.0), ('drugs', -1.0), ('effects', -1.0), ('engaged', -1.0)]","[2, 0, 2]"
1,0,231,"[1.0, 1.0, 1.0]","[('widely', -0.8660254037844387), ('effects', 0.8660254037844387), ('engaged', 0.8660254037844387), ('enhanced', 0.8660254037844387), ('epigenetic', 0.8660254037844387)]","[1, 0, 2]"
1,2,249,"[1.0, 0.0, 1.0]","[('expression', -1.0), ('tumor', 1.0), ('gene', -1.0), ('increasingly', 0.8660254037844387), ('highlight', 0.8660254037844387)]","[1, 0, 2]"
2,0,300,"[1.0, 2.0]","[('widely', 1.0), ('malignant', 1.0), ('impact', 1.0), ('human', -1.0), ('highly', 1.0)]","[1, 1, 0]"
3,0,284,"[1.0, 1.0, 1.0]","[('widely', 0.8660254037844387), ('effects', -0.8660254037844387), ('engaged', -0.8660254037844387), ('enhanced', -0.8660254037844387), ('epigenetic', -0.8660254037844387)]","[1, 2, 0]"
3,2,110,"[1.0, 1.0, 0.0]","[('cells', 1.0), ('human', -1.0), ('impact', 1.0), ('survival', 1.0), ('changes', -1.0)]","[1, 2, 0]"
5,0,351,"[2.0, 1.0]","[('widely', 1.0), ('gene', 1.0), ('endothelial', 1.0), ('engaged', -1.0), ('enhanced', -1.0)]","[1, 2, 1]"
6,0,155,"[1.0, 1.0, 1.0]","[('cells', -1.0), ('human', 1.0), ('impact', -1.0), ('survival', -1.0), ('changes', 1.0)]","[0, 1, 2]"
6,2,146,"[1.0, 0.0, 1.0]","[('widely', -0.8660254037844387), ('effects', 0.8660254037844387), ('engaged', 0.8660254037844387), ('enhanced', 0.8660254037844387), ('epigenetic', 0.8660254037844387)]","[0, 1, 2]"
7,0,321,"[2.0, 1.0]","[('widely', -1.0), ('malignant', -1.0), ('impact', -1.0), ('human', 1.0), ('highly', -1.0)]","[1, 0, 0]"
9,0,378,"[2.0, 1.0]","[('understanding', 1.0), ('immuneorchestrated', 1.0), ('drugs', 1.0), ('effects', 1.0), ('engaged', 1.0)]","[0, 0, 2]"
