run,node_id,feature,class_distribution,top_words,fixed_indices,random_indices,fixed_labels,random_labels
0,0,25,"[1.0, 1.0, 1.0]","[('widely', 0.8660254037844387), ('colorectal', -0.8660254037844387), ('messenger', -0.8660254037844387), ('vascularized', 0.8660254037844387), ('malignant', 0.8660254037844387)]","[399, 566]",[543],"['Human', 'Mouse']",['Random_0_Homo sapiens']
0,2,314,"[1.0, 1.0, 0.0]","[('widely', 0.8660254037844387), ('colorectal', -0.8660254037844387), ('messenger', -0.8660254037844387), ('vascularized', 0.8660254037844387), ('malignant', 0.8660254037844387)]","[399, 566]",[543],"['Human', 'Mouse']",['Random_0_Homo sapiens']
1,0,231,"[1.0, 1.0, 1.0]","[('widely', -0.8660254037844387), ('endothelial', -0.8660254037844387), ('lineswe', 0.8660254037844387), ('lines', 0.8660254037844387), ('vascularized', -0.8660254037844387)]","[399, 566]",[328],"['Human', 'Mouse']",['Random_0_Homo sapiens']
1,2,249,"[1.0, 0.0, 1.0]","[('expression', -1.0), ('analysis', 1.0), ('gene', -1.0), ('line', 0.8660254037844387), ('media', 0.8660254037844387)]","[399, 566]",[328],"['Human', 'Mouse']",['Random_0_Homo sapiens']
2,0,300,"[1.0, 1.0, 1.0]","[('expression', -1.0), ('gene', -1.0), ('tumor', 1.0), ('mechanism', 0.8660254037844387), ('important', 0.8660254037844387)]","[399, 566]",[426],"['Human', 'Mouse']",['Random_0_Homo sapiens']
2,2,82,"[0.0, 1.0, 1.0]","[('widely', -0.8660254037844387), ('digitalislike', 0.8660254037844387), ('downregulating', 0.8660254037844387), ('emerged', 0.8660254037844387), ('endothelial', -0.8660254037844387)]","[399, 566]",[426],"['Human', 'Mouse']",['Random_0_Homo sapiens']
3,0,284,"[1.0, 1.0, 1.0]","[('rnaseq', 1.0), ('tumor', 1.0), ('gene', -1.0), ('analysis', 1.0), ('32', -0.8660254037844387)]","[399, 566]",[135],"['Human', 'Mouse']",['Random_0_Homo sapiens']
3,2,110,"[0.0, 1.0, 1.0]","[('widely', 0.8660254037844387), ('knock', -0.8660254037844387), ('hh', -0.8660254037844387), ('highly', 0.8660254037844387), ('impact', 0.8660254037844387)]","[399, 566]",[135],"['Human', 'Mouse']",['Random_0_Homo sapiens']
4,0,314,"[1.0, 1.0, 1.0]","[('gene', -1.0), ('tumor', 1.0), ('survival', 1.0), ('lungs', 0.8660254037844387), ('identifies', 0.8660254037844387)]","[399, 566]",[149],"['Human', 'Mouse']",['Random_0_Homo sapiens']
4,2,368,"[0.0, 1.0, 1.0]","[('widely', 0.8660254037844387), ('decreased', -0.8660254037844387), ('demonstrate', -0.8660254037844387), ('differentially', -0.8660254037844387), ('diminished', -0.8660254037844387)]","[399, 566]",[149],"['Human', 'Mouse']",['Random_0_Homo sapiens']
5,0,351,"[1.0, 1.0, 1.0]","[('widely', 0.8660254037844387), ('endothelial', 0.8660254037844387), ('minor', 0.8660254037844387), ('vascularized', 0.8660254037844387), ('malignant', 0.8660254037844387)]","[399, 566]",[189],"['Human', 'Mouse']",['Random_0_Homo sapiens']
5,2,286,"[1.0, 1.0, 0.0]","[('widely', 0.8660254037844387), ('endothelial', 0.8660254037844387), ('minor', 0.8660254037844387), ('vascularized', 0.8660254037844387), ('malignant', 0.8660254037844387)]","[399, 566]",[189],"['Human', 'Mouse']",['Random_0_Homo sapiens']
6,0,155,"[1.0, 1.0, 1.0]","[('gene', 1.0), ('expression', 1.0), ('widely', -0.8660254037844387), ('molecular', -0.8660254037844387), ('minor', -0.8660254037844387)]","[399, 566]",[401],"['Human', 'Mouse']",['Random_0_Mus musculus']
6,2,146,"[1.0, 0.0, 1.0]","[('gene', 1.0), ('expression', 1.0), ('widely', -0.8660254037844387), ('molecular', -0.8660254037844387), ('minor', -0.8660254037844387)]","[399, 566]",[401],"['Human', 'Mouse']",['Random_0_Mus musculus']
7,0,321,"[1.0, 1.0, 1.0]","[('widely', -0.8660254037844387), ('discovery', 0.8660254037844387), ('lines', 0.8660254037844387), ('vascularized', -0.8660254037844387), ('impact', -0.8660254037844387)]","[399, 566]",[155],"['Human', 'Mouse']",['Random_0_Homo sapiens']
7,2,234,"[1.0, 0.0, 1.0]","[('widely', -0.8660254037844387), ('discovery', 0.8660254037844387), ('lines', 0.8660254037844387), ('vascularized', -0.8660254037844387), ('impact', -0.8660254037844387)]","[399, 566]",[155],"['Human', 'Mouse']",['Random_0_Homo sapiens']
8,0,371,"[1.0, 1.0, 1.0]","[('gene', -1.0), ('expression', -1.0), ('glioblastoma', -0.8660254037844387), ('mouse', 0.8660254037844387), ('molecular', 0.8660254037844387)]","[399, 566]",[77],"['Human', 'Mouse']",['Random_0_Homo sapiens']
8,2,248,"[0.0, 1.0, 1.0]","[('gene', -1.0), ('expression', -1.0), ('glioblastoma', -0.8660254037844387), ('mouse', 0.8660254037844387), ('molecular', 0.8660254037844387)]","[399, 566]",[77],"['Human', 'Mouse']",['Random_0_Homo sapiens']
9,0,378,"[1.0, 1.0, 1.0]","[('widely', 0.8660254037844387), ('impact', 0.8660254037844387), ('epigenetic', -0.8660254037844387), ('extended', -0.8660254037844387), ('features', 0.8660254037844387)]","[399, 566]",[51],"['Human', 'Mouse']",['Random_0_Homo sapiens']
9,2,72,"[1.0, 1.0, 0.0]","[('widely', -0.8660254037844387), ('impact', -0.8660254037844387), ('epigenetic', 0.8660254037844387), ('extended', 0.8660254037844387), ('features', -0.8660254037844387)]","[399, 566]",[51],"['Human', 'Mouse']",['Random_0_Homo sapiens']
