comparison,gse_1,gse_2,containment,jaccard,overlap_count,shared_cuis,title_1,title_2
within_human,GSE106681,GSE106694,1.0,1.0,254,"['C0001038', 'C0001554', 'C0003463', 'C0005967', 'C0006142', 'C0011381', 'C0011432', 'C0011435', 'C0012634', 'C0013081', 'C0013175', 'C0013227', 'C0014239', 'C0015461', 'C0015498', 'C0016006', 'C0017262', 'C0017337', 'C0017925', 'C0019652', 'C0021212', 'C0021467', 'C0021469', 'C0023980', 'C0025723', 'C0026336', 'C0026339', 'C0026636', 'C0027651', 'C0028432', 'C0028877', 'C0029896', 'C0031809', 'C0033262', 'C0034804', 'C0036866', 'C0037775', 'C0039286', 'C0039795', 'C0040648', 'C0079429', 'C0079589', 'C0085123', 'C0085862', 'C0086222', 'C0087111', 'C0151904', 'C0162327', 'C0162493', 'C0171406', 'C0184661', 'C0185117', 'C0205217', 'C0205250', 'C0205615', 'C0205681', 'C0221106', 'C0237834', 'C0238033', 'C0242613', 'C0243107', 'C0279025', 'C0280674', 'C0282637', 'C0302350', 'C0326230', 'C0332281', 'C0332290', 'C0332324', 'C0332325', 'C0376306', 'C0376571', 'C0376636', 'C0439855', 'C0441712', 'C0442805', 'C0443199', 'C0449774', 'C0456387', 'C0456984', 'C0520484', 'C0522537', 'C0582103', 'C0593802', 'C0597415', 'C0598034', 'C0599894', 'C0600644', 'C0678222', 'C0678723', 'C0683598', 'C0699810', 'C0723712', 'C0732611', 'C0750862', 'C0752229', 'C0752248', 'C0851827', 'C0854069', 'C0870809', 'C0876936', 'C0886296', 'C1017675', 'C1079230', 'C1099354', 'C1136180', 'C1145667', 'C1148674', 'C1148759', 'C1148789', 'C1148794', 'C1149337', 'C1149367', 'C1149371', 'C1152944', 'C1154415', 'C1159269', 'C1159372', 'C1167622', 'C1171362', 'C1235732', 'C1273869', 'C1273870', 'C1275670', 'C1292734', 'C1322978', 'C1323350', 'C1366644', 'C1378698', 'C1414461', 'C1414462', 'C1415626', 'C1417679', 'C1420631', 'C1420636', 'C1442099', 'C1446409', 'C1451774', 'C1506537', 'C1510620', 'C1510992', 'C1511726', 'C1514241', 'C1514892', 'C1515568', 'C1515670', 'C1516048', 'C1516698', 'C1518919', 'C1519228', 'C1520166', 'C1521754', 'C1521761', 'C1521840', 'C1521863', 'C1522326', 'C1522602', 'C1522640', 'C1522740', 'C1524057', 'C1527148', 'C1533729', 'C1546437', 'C1547427', 'C1549478', 'C1550464', 'C1554105', 'C1555289', 'C1628982', 'C1701901', 'C1704241', 'C1704711', 'C1704814', 'C1704815', 'C1705117', 'C1705241', 'C1705242', 'C1706235', 'C1706376', 'C1707993', 'C1711141', 'C1837820', 'C1879547', 'C1881379', 'C1948058', 'C2245017', 'C2248126', 'C2347565', 'C2349975', 'C2610645', 'C2735310', 'C2757056', 'C2757060', 'C2825490', 'C2827422', 'C2827757', 'C2911684', 'C2917212', 'C2936263', 'C2936612', 'C2979881', 'C2986411', 'C3161035', 'C3178810', 'C3244125', 'C3244310', 'C3245479', 'C3273539', 'C3463820', 'C3536982', 'C3540795', 'C3548902', 'C3642345', 'C3642346', 'C3687832', 'C3714583', 'C3714741', 'C3812269', 'C3846720', 'C3853838', 'C3853906', 'C3854321', 'C3858590', 'C3894547', 'C3898714', 'C3898881', 'C4019422', 'C4063051', 'C4235282', 'C4235502', 'C4321457', 'C4505109', 'C4552593', 'C4554467', 'C4699379', 'C4722296', 'C4725193', 'C4725194', 'C4727083', 'C4727483', 'C4727641', 'C5203057', 'C5203058', 'C5203059', 'C5203061', 'C5204957', 'C5236002', 'C5237010', 'C5400797', 'C5417695', 'C5441529', 'C5444885', 'C5544411', 'C5575229']",GRHL2 is a key lineage determining factor which collaborates with FOXA1 to establish a targetable collateral pathway in the setting of endocrine therapy-resistant breast cancer (RNA-Seq data set 1),GRHL2 is a key lineage determining factor which collaborates with FOXA1 to establish a targetable collateral pathway in the setting of endocrine therapy-resistant breast cancer (RNA-Seq data set 2)
within_human,GSE79209,GSE79210,1.0,0.9776785714285714,219,"['C0003826', 'C0005516', 'C0005558', 'C0005933', 'C0007137', 'C0012634', 'C0014597', 'C0017262', 'C0017263', 'C0017337', 'C0017925', 'C0024109', 'C0025360', 'C0026636', 'C0027361', 'C0027651', 'C0027792', 'C0028432', 'C0029896', 'C0030013', 'C0030055', 'C0030705', 'C0034897', 'C0035237', 'C0037088', 'C0041365', 'C0041366', 'C0041618', 'C0041703', 'C0079429', 'C0080105', 'C0085862', 'C0149782', 'C0150312', 'C0150694', 'C0151904', 'C0162327', 'C0162585', 'C0162801', 'C0178693', 'C0178987', 'C0181813', 'C0181904', 'C0184661', 'C0185117', 'C0192867', 'C0194073', 'C0205039', 'C0205117', 'C0205217', 'C0205396', 'C0206132', 'C0221106', 'C0221198', 'C0221908', 'C0237401', 'C0238792', 'C0239059', 'C0242379', 'C0242656', 'C0242687', 'C0243095', 'C0278925', 'C0282335', 'C0282515', 'C0282655', 'C0332162', 'C0332281', 'C0337664', 'C0337667', 'C0337671', 'C0340652', 'C0370079', 'C0392148', 'C0392747', 'C0439224', 'C0439849', 'C0442805', 'C0443172', 'C0449258', 'C0456984', 'C0458578', 'C0458579', 'C0458827', 'C0487602', 'C0521116', 'C0523213', 'C0552545', 'C0561852', 'C0596263', 'C0596972', 'C0599755', 'C0599779', 'C0679846', 'C0684249', 'C0684320', 'C0684321', 'C0700219', 'C0719022', 'C0728873', 'C0729333', 'C0752248', 'C0807712', 'C0814861', 'C0850639', 'C0854991', 'C0886296', 'C0951590', 'C1160700', 'C1171362', 'C1279919', 'C1294197', 'C1299583', 'C1305742', 'C1306460', 'C1318309', 'C1335499', 'C1417679', 'C1419844', 'C1442216', 'C1458156', 'C1510893', 'C1511790', 'C1513778', 'C1514562', 'C1515670', 'C1515926', 'C1516192', 'C1516462', 'C1516944', 'C1517223', 'C1517486', 'C1519316', 'C1521738', 'C1521743', 'C1546565', 'C1549571', 'C1550043', 'C1550618', 'C1550655', 'C1553496', 'C1608386', 'C1704259', 'C1704680', 'C1705423', 'C1705596', 'C1705630', 'C1705908', 'C1705970', 'C1705987', 'C1706279', 'C1708225', 'C1817350', 'C1836830', 'C1854494', 'C1879547', 'C1881483', 'C1947901', 'C1964029', 'C2226910', 'C2244392', 'C2346620', 'C2348001', 'C2349184', 'C2607943', 'C2697672', 'C2825055', 'C2825141', 'C2826982', 'C2827071', 'C2911684', 'C2926606', 'C2986743', 'C2986744', 'C3156948', 'C3164393', 'C3178810', 'C3178997', 'C3179131', 'C3241966', 'C3244125', 'C3245468', 'C3263722', 'C3263723', 'C3539781', 'C3830361', 'C3854307', 'C3854321', 'C3895352', 'C4037972', 'C4054664', 'C4055468', 'C4071894', 'C4086963', 'C4331802', 'C4505109', 'C4520904', 'C4526917', 'C4553228', 'C4553229', 'C4553529', 'C4699379', 'C4722463', 'C4723839', 'C4724080', 'C4727347', 'C4760607', 'C5235969', 'C5236002', 'C5236074', 'C5237010', 'C5237786', 'C5237794', 'C5239280', 'C5419817', 'C5444885', 'C5446366', 'C5447677', 'C5556302']",Airway epithelial cells from smokers with and without bronchial premalignant lesions,Airway epithelial cells from high-risk subjects obtained via multiple bronchoscopy procedures to follow bronchial premalignant lesions as part of lung cancer screening
within_human,GSE77381,GSE77382,1.0,0.9887640449438202,176,"['C0001688', 'C0003209', 'C0004561', 'C0007589', 'C0007592', 'C0007620', 'C0007634', 'C0007635', 'C0009219', 'C0009932', 'C0009938', 'C0010453', 'C0011331', 'C0012929', 'C0013081', 'C0013846', 'C0015350', 'C0016055', 'C0017262', 'C0017263', 'C0017337', 'C0021758', 'C0023172', 'C0024432', 'C0026237', 'C0027015', 'C0031437', 'C0031843', 'C0032081', 'C0033268', 'C0037088', 'C0037578', 'C0039593', 'C0039654', 'C0039795', 'C0039798', 'C0040597', 'C0040649', 'C0041904', 'C0043240', 'C0043251', 'C0052387', 'C0060321', 'C0079240', 'C0079323', 'C0079429', 'C0086418', 'C0087111', 'C0151904', 'C0162493', 'C0178539', 'C0185117', 'C0205217', 'C0205615', 'C0205618', 'C0221106', 'C0221284', 'C0237881', 'C0243092', 'C0243095', 'C0243148', 'C0252313', 'C0302350', 'C0308718', 'C0331307', 'C0332281', 'C0332293', 'C0374711', 'C0392366', 'C0441472', 'C0441833', 'C0442805', 'C0442808', 'C0443348', 'C0449432', 'C0450366', 'C0518033', 'C0524983', 'C0542341', 'C0543419', 'C0687744', 'C0700205', 'C0723712', 'C0728976', 'C0814843', 'C0851285', 'C0879626', 'C0887941', 'C0919678', 'C0932050', 'C0939860', 'C1136156', 'C1136365', 'C1158765', 'C1159372', 'C1160700', 'C1171362', 'C1179435', 'C1257890', 'C1280500', 'C1285572', 'C1315032', 'C1323260', 'C1325326', 'C1325653', 'C1326956', 'C1327441', 'C1332838', 'C1333497', 'C1367472', 'C1414543', 'C1415793', 'C1417679', 'C1510467', 'C1515654', 'C1515670', 'C1515999', 'C1516362', 'C1517486', 'C1519504', 'C1519595', 'C1521840', 'C1522326', 'C1522540', 'C1524083', 'C1533734', 'C1546706', 'C1547100', 'C1547427', 'C1548180', 'C1550101', 'C1550652', 'C1552007', 'C1561557', 'C1561593', 'C1563761', 'C1570610', 'C1608761', 'C1701589', 'C1705181', 'C1705273', 'C1706331', 'C1706355', 'C1706428', 'C1708435', 'C1709380', 'C1819716', 'C1879547', 'C1948023', 'C1948037', 'C2242979', 'C2244221', 'C2244222', 'C2244392', 'C2249734', 'C2607943', 'C2717879', 'C2825141', 'C2926606', 'C3263723', 'C3266814', 'C3486572', 'C3714660', 'C3812660', 'C3894549', 'C3899739', 'C4049136', 'C4277541', 'C4318409', 'C4319951', 'C4329101', 'C4505192', 'C5236002', 'C5237010', 'C5419559', 'C5444885']",Arnica montana stimulates extracellular matrix gene expression in human macrophages differentiated to wound-healing phenotype. Tested on 5 concentrations.,Arnica montana stimulates extracellular matrix gene expression in human macrophages differentiated to wound-healing phenotype.
within_human,GSE96562,GSE96563,1.0,1.0,149,"['C0003320', 'C0003334', 'C0003341', 'C0004561', 'C0005767', 'C0005768', 'C0005773', 'C0006558', 'C0007595', 'C0007634', 'C0009013', 'C0011854', 'C0011860', 'C0012634', 'C0012854', 'C0013018', 'C0017395', 'C0017925', 'C0019167', 'C0019409', 'C0022131', 'C0023172', 'C0025664', 'C0026636', 'C0027361', 'C0028432', 'C0029213', 'C0029896', 'C0030956', 'C0031437', 'C0032930', 'C0033175', 'C0034790', 'C0037088', 'C0037783', 'C0039194', 'C0039215', 'C0040038', 'C0042834', 'C0079399', 'C0080105', 'C0085551', 'C0086582', 'C0150312', 'C0158328', 'C0178693', 'C0205245', 'C0205360', 'C0229664', 'C0231242', 'C0237401', 'C0237876', 'C0242656', 'C0242960', 'C0243095', 'C0274281', 'C0332157', 'C0332290', 'C0348050', 'C0392148', 'C0439234', 'C0439508', 'C0441833', 'C0441889', 'C0442726', 'C0442737', 'C0449851', 'C0456079', 'C0458343', 'C0524889', 'C0524983', 'C0542341', 'C0545082', 'C0567416', 'C0681850', 'C0682639', 'C0687744', 'C0699748', 'C0728853', 'C0752248', 'C0887909', 'C1136359', 'C1158557', 'C1167203', 'C1257890', 'C1428751', 'C1444748', 'C1511124', 'C1511229', 'C1511790', 'C1512346', 'C1515655', 'C1518999', 'C1519504', 'C1520005', 'C1522529', 'C1524057', 'C1527169', 'C1547311', 'C1547707', 'C1550501', 'C1561543', 'C1561544', 'C1561557', 'C1563691', 'C1654621', 'C1704653', 'C1706203', 'C1706821', 'C1708335', 'C1710548', 'C1837514', 'C1854494', 'C1879547', 'C1947901', 'C1948049', 'C1956267', 'C2349001', 'C2350239', 'C2350593', 'C2607943', 'C2697811', 'C2700217', 'C2825141', 'C2826651', 'C2926606', 'C2936412', 'C3245468', 'C3273371', 'C3853838', 'C3854307', 'C3898900', 'C3899739', 'C4048187', 'C4086963', 'C4321509', 'C4520857', 'C4760607', 'C4761515', 'C5237794', 'C5239280', 'C5401001', 'C5417695', 'C5444558', 'C5544432', 'C5551416', 'C5551417', 'C5554878', 'C5669539']",Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (single-cell RNA-seq of T-cell clone),Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (bulk RNA-seq of T-cell clone)
within_human,GSE96562,GSE96564,1.0,0.9932885906040269,148,"['C0003320', 'C0003334', 'C0003341', 'C0004561', 'C0005767', 'C0005768', 'C0005773', 'C0006558', 'C0007595', 'C0007634', 'C0011854', 'C0011860', 'C0012634', 'C0012854', 'C0013018', 'C0017395', 'C0017925', 'C0019167', 'C0019409', 'C0022131', 'C0023172', 'C0025664', 'C0026636', 'C0027361', 'C0028432', 'C0029213', 'C0029896', 'C0030956', 'C0031437', 'C0032930', 'C0033175', 'C0034790', 'C0037088', 'C0037783', 'C0039194', 'C0039215', 'C0040038', 'C0042834', 'C0079399', 'C0080105', 'C0085551', 'C0086582', 'C0150312', 'C0158328', 'C0178693', 'C0205245', 'C0205360', 'C0229664', 'C0231242', 'C0237401', 'C0237876', 'C0242656', 'C0242960', 'C0243095', 'C0274281', 'C0332157', 'C0332290', 'C0348050', 'C0392148', 'C0439234', 'C0439508', 'C0441833', 'C0441889', 'C0442726', 'C0442737', 'C0449851', 'C0456079', 'C0458343', 'C0524889', 'C0524983', 'C0542341', 'C0545082', 'C0567416', 'C0681850', 'C0682639', 'C0687744', 'C0699748', 'C0728853', 'C0752248', 'C0887909', 'C1136359', 'C1158557', 'C1167203', 'C1257890', 'C1428751', 'C1444748', 'C1511124', 'C1511229', 'C1511790', 'C1512346', 'C1515655', 'C1518999', 'C1519504', 'C1520005', 'C1522529', 'C1524057', 'C1527169', 'C1547311', 'C1547707', 'C1550501', 'C1561543', 'C1561544', 'C1561557', 'C1563691', 'C1654621', 'C1704653', 'C1706203', 'C1706821', 'C1708335', 'C1710548', 'C1837514', 'C1854494', 'C1879547', 'C1947901', 'C1948049', 'C1956267', 'C2349001', 'C2350239', 'C2350593', 'C2607943', 'C2697811', 'C2700217', 'C2825141', 'C2826651', 'C2926606', 'C2936412', 'C3245468', 'C3273371', 'C3853838', 'C3854307', 'C3898900', 'C3899739', 'C4048187', 'C4086963', 'C4321509', 'C4520857', 'C4760607', 'C4761515', 'C5237794', 'C5239280', 'C5401001', 'C5417695', 'C5444558', 'C5544432', 'C5551416', 'C5551417', 'C5554878', 'C5669539']",Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (single-cell RNA-seq of T-cell clone),Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (single-cell RNA-seq of CD8+ influenza-reactive T cells)
within_human,GSE96563,GSE96564,1.0,0.9932885906040269,148,"['C0003320', 'C0003334', 'C0003341', 'C0004561', 'C0005767', 'C0005768', 'C0005773', 'C0006558', 'C0007595', 'C0007634', 'C0011854', 'C0011860', 'C0012634', 'C0012854', 'C0013018', 'C0017395', 'C0017925', 'C0019167', 'C0019409', 'C0022131', 'C0023172', 'C0025664', 'C0026636', 'C0027361', 'C0028432', 'C0029213', 'C0029896', 'C0030956', 'C0031437', 'C0032930', 'C0033175', 'C0034790', 'C0037088', 'C0037783', 'C0039194', 'C0039215', 'C0040038', 'C0042834', 'C0079399', 'C0080105', 'C0085551', 'C0086582', 'C0150312', 'C0158328', 'C0178693', 'C0205245', 'C0205360', 'C0229664', 'C0231242', 'C0237401', 'C0237876', 'C0242656', 'C0242960', 'C0243095', 'C0274281', 'C0332157', 'C0332290', 'C0348050', 'C0392148', 'C0439234', 'C0439508', 'C0441833', 'C0441889', 'C0442726', 'C0442737', 'C0449851', 'C0456079', 'C0458343', 'C0524889', 'C0524983', 'C0542341', 'C0545082', 'C0567416', 'C0681850', 'C0682639', 'C0687744', 'C0699748', 'C0728853', 'C0752248', 'C0887909', 'C1136359', 'C1158557', 'C1167203', 'C1257890', 'C1428751', 'C1444748', 'C1511124', 'C1511229', 'C1511790', 'C1512346', 'C1515655', 'C1518999', 'C1519504', 'C1520005', 'C1522529', 'C1524057', 'C1527169', 'C1547311', 'C1547707', 'C1550501', 'C1561543', 'C1561544', 'C1561557', 'C1563691', 'C1654621', 'C1704653', 'C1706203', 'C1706821', 'C1708335', 'C1710548', 'C1837514', 'C1854494', 'C1879547', 'C1947901', 'C1948049', 'C1956267', 'C2349001', 'C2350239', 'C2350593', 'C2607943', 'C2697811', 'C2700217', 'C2825141', 'C2826651', 'C2926606', 'C2936412', 'C3245468', 'C3273371', 'C3853838', 'C3854307', 'C3898900', 'C3899739', 'C4048187', 'C4086963', 'C4321509', 'C4520857', 'C4760607', 'C4761515', 'C5237794', 'C5239280', 'C5401001', 'C5417695', 'C5444558', 'C5544432', 'C5551416', 'C5551417', 'C5554878', 'C5669539']",Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (bulk RNA-seq of T-cell clone),Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (single-cell RNA-seq of CD8+ influenza-reactive T cells)
within_human,GSE96564,GSE96568,1.0,0.9801324503311258,148,"['C0003320', 'C0003334', 'C0003341', 'C0004561', 'C0005767', 'C0005768', 'C0005773', 'C0006558', 'C0007595', 'C0007634', 'C0011854', 'C0011860', 'C0012634', 'C0012854', 'C0013018', 'C0017395', 'C0017925', 'C0019167', 'C0019409', 'C0022131', 'C0023172', 'C0025664', 'C0026636', 'C0027361', 'C0028432', 'C0029213', 'C0029896', 'C0030956', 'C0031437', 'C0032930', 'C0033175', 'C0034790', 'C0037088', 'C0037783', 'C0039194', 'C0039215', 'C0040038', 'C0042834', 'C0079399', 'C0080105', 'C0085551', 'C0086582', 'C0150312', 'C0158328', 'C0178693', 'C0205245', 'C0205360', 'C0229664', 'C0231242', 'C0237401', 'C0237876', 'C0242656', 'C0242960', 'C0243095', 'C0274281', 'C0332157', 'C0332290', 'C0348050', 'C0392148', 'C0439234', 'C0439508', 'C0441833', 'C0441889', 'C0442726', 'C0442737', 'C0449851', 'C0456079', 'C0458343', 'C0524889', 'C0524983', 'C0542341', 'C0545082', 'C0567416', 'C0681850', 'C0682639', 'C0687744', 'C0699748', 'C0728853', 'C0752248', 'C0887909', 'C1136359', 'C1158557', 'C1167203', 'C1257890', 'C1428751', 'C1444748', 'C1511124', 'C1511229', 'C1511790', 'C1512346', 'C1515655', 'C1518999', 'C1519504', 'C1520005', 'C1522529', 'C1524057', 'C1527169', 'C1547311', 'C1547707', 'C1550501', 'C1561543', 'C1561544', 'C1561557', 'C1563691', 'C1654621', 'C1704653', 'C1706203', 'C1706821', 'C1708335', 'C1710548', 'C1837514', 'C1854494', 'C1879547', 'C1947901', 'C1948049', 'C1956267', 'C2349001', 'C2350239', 'C2350593', 'C2607943', 'C2697811', 'C2700217', 'C2825141', 'C2826651', 'C2926606', 'C2936412', 'C3245468', 'C3273371', 'C3853838', 'C3854307', 'C3898900', 'C3899739', 'C4048187', 'C4086963', 'C4321509', 'C4520857', 'C4760607', 'C4761515', 'C5237794', 'C5239280', 'C5401001', 'C5417695', 'C5444558', 'C5544432', 'C5551416', 'C5551417', 'C5554878', 'C5669539']",Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (single-cell RNA-seq of CD8+ influenza-reactive T cells),Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (single-cell RNA-seq of CD4+ pooled islet antigen-reactive T cells)
within_human,GSE46805,GSE46817,1.0,0.9931972789115646,146,"['C0001272', 'C0003463', 'C0004083', 'C0004561', 'C0007581', 'C0007595', 'C0007634', 'C0014520', 'C0016434', 'C0017262', 'C0021135', 'C0021212', 'C0023172', 'C0025201', 'C0025202', 'C0026640', 'C0026882', 'C0027651', 'C0027960', 'C0027962', 'C0029016', 'C0035143', 'C0037083', 'C0079068', 'C0079183', 'C0080065', 'C0086418', 'C0086661', 'C0174680', 'C0181734', 'C0181740', 'C0185117', 'C0205183', 'C0205263', 'C0205282', 'C0205322', 'C0205367', 'C0206735', 'C0231337', 'C0249880', 'C0302523', 'C0311432', 'C0326230', 'C0334094', 'C0334227', 'C0334430', 'C0349538', 'C0439849', 'C0449438', 'C0524983', 'C0525036', 'C0525037', 'C0596306', 'C0596611', 'C0597452', 'C0678723', 'C0681797', 'C0699792', 'C0700325', 'C0728721', 'C0741847', 'C0751995', 'C0796561', 'C0809246', 'C0812241', 'C0812376', 'C0870861', 'C0920533', 'C1150565', 'C1171362', 'C1235732', 'C1254042', 'C1259929', 'C1272677', 'C1302746', 'C1327288', 'C1334602', 'C1413172', 'C1417123', 'C1429778', 'C1454487', 'C1456781', 'C1511726', 'C1514391', 'C1514485', 'C1515670', 'C1516974', 'C1518311', 'C1518371', 'C1519692', 'C1522602', 'C1522642', 'C1533691', 'C1546437', 'C1546481', 'C1548358', 'C1554105', 'C1554188', 'C1567848', 'C1578706', 'C1622120', 'C1654621', 'C1704387', 'C1704770', 'C1705280', 'C1705285', 'C1705519', 'C1705582', 'C1705597', 'C1707520', 'C1708843', 'C1879547', 'C1882062', 'C1964257', 'C1999167', 'C2739810', 'C2745888', 'C2754080', 'C2827718', 'C2911684', 'C2986594', 'C3159310', 'C3245479', 'C3245505', 'C3273930', 'C3537152', 'C3657629', 'C3714741', 'C3820589', 'C3853838', 'C3854321', 'C3899739', 'C4042934', 'C4055506', 'C4317072', 'C4318409', 'C4505109', 'C4699379', 'C4761515', 'C4764257', 'C5237010', 'C5239823', 'C5441593', 'C5444885', 'C5445211', 'C5544531']",Expression data from Uninfected and BRAF600V induced melanocytes,Expression data from 7 Human Melanomas
within_human,GSE89365,GSE89368,1.0,1.0,145,"['C0004561', 'C0007620', 'C0007634', 'C0015609', 'C0017262', 'C0017362', 'C0021920', 'C0023172', 'C0026661', 'C0027015', 'C0028608', 'C0033684', 'C0034538', 'C0034539', 'C0035280', 'C0035353', 'C0037420', 'C0038164', 'C0038952', 'C0038954', 'C0040649', 'C0084378', 'C0085177', 'C0086376', 'C0086418', 'C0106269', 'C0137714', 'C0139916', 'C0142661', 'C0150775', 'C0151904', 'C0162771', 'C0162796', 'C0182953', 'C0185117', 'C0205217', 'C0205250', 'C0221106', 'C0221284', 'C0238033', 'C0243092', 'C0274281', 'C0281267', 'C0285094', 'C0332157', 'C0333117', 'C0441994', 'C0442805', 'C0449432', 'C0524983', 'C0558024', 'C0596610', 'C0678222', 'C0726639', 'C0728853', 'C0752248', 'C0872079', 'C0887918', 'C0907883', 'C0907884', 'C0920283', 'C0962525', 'C1136156', 'C1136365', 'C1145667', 'C1148674', 'C1155291', 'C1159372', 'C1167166', 'C1167622', 'C1173145', 'C1179435', 'C1257899', 'C1318143', 'C1321569', 'C1323350', 'C1332838', 'C1333206', 'C1413955', 'C1426670', 'C1448132', 'C1513822', 'C1514544', 'C1516374', 'C1516448', 'C1519595', 'C1521746', 'C1521840', 'C1526988', 'C1527349', 'C1539588', 'C1546938', 'C1548802', 'C1698196', 'C1704675', 'C1704735', 'C1704844', 'C1705739', 'C1709694', 'C1720950', 'C1753315', 'C1762617', 'C1825598', 'C1880022', 'C1880177', 'C1882071', 'C2003888', 'C2347946', 'C2610645', 'C2754130', 'C2754179', 'C2754450', 'C2754673', 'C2755750', 'C2826651', 'C2911684', 'C2936194', 'C3178810', 'C3178846', 'C3270705', 'C3538976', 'C3714552', 'C3815596', 'C3826426', 'C3854321', 'C3896214', 'C3899739', 'C4042843', 'C4048187', 'C4049986', 'C4050123', 'C4277675', 'C4281746', 'C4318409', 'C4327509', 'C4327769', 'C4688304', 'C4699379', 'C4724044', 'C4725798', 'C4744949', 'C5236002', 'C5419559', 'C5444086', 'C5575473']",DDX54 regulates transcriptome dynamics during DNA damage response [4SU-seq],DDX54 regulates transcriptome dynamics during DNA damage response [RNA-seq2]
within_human,GSE89367,GSE89368,1.0,1.0,145,"['C0004561', 'C0007620', 'C0007634', 'C0015609', 'C0017262', 'C0017362', 'C0021920', 'C0023172', 'C0026661', 'C0027015', 'C0028608', 'C0033684', 'C0034538', 'C0034539', 'C0035280', 'C0035353', 'C0037420', 'C0038164', 'C0038952', 'C0038954', 'C0040649', 'C0084378', 'C0085177', 'C0086376', 'C0086418', 'C0106269', 'C0137714', 'C0139916', 'C0142661', 'C0150775', 'C0151904', 'C0162771', 'C0162796', 'C0182953', 'C0185117', 'C0205217', 'C0205250', 'C0221106', 'C0221284', 'C0238033', 'C0243092', 'C0274281', 'C0281267', 'C0285094', 'C0332157', 'C0333117', 'C0441994', 'C0442805', 'C0449432', 'C0524983', 'C0558024', 'C0596610', 'C0678222', 'C0726639', 'C0728853', 'C0752248', 'C0872079', 'C0887918', 'C0907883', 'C0907884', 'C0920283', 'C0962525', 'C1136156', 'C1136365', 'C1145667', 'C1148674', 'C1155291', 'C1159372', 'C1167166', 'C1167622', 'C1173145', 'C1179435', 'C1257899', 'C1318143', 'C1321569', 'C1323350', 'C1332838', 'C1333206', 'C1413955', 'C1426670', 'C1448132', 'C1513822', 'C1514544', 'C1516374', 'C1516448', 'C1519595', 'C1521746', 'C1521840', 'C1526988', 'C1527349', 'C1539588', 'C1546938', 'C1548802', 'C1698196', 'C1704675', 'C1704735', 'C1704844', 'C1705739', 'C1709694', 'C1720950', 'C1753315', 'C1762617', 'C1825598', 'C1880022', 'C1880177', 'C1882071', 'C2003888', 'C2347946', 'C2610645', 'C2754130', 'C2754179', 'C2754450', 'C2754673', 'C2755750', 'C2826651', 'C2911684', 'C2936194', 'C3178810', 'C3178846', 'C3270705', 'C3538976', 'C3714552', 'C3815596', 'C3826426', 'C3854321', 'C3896214', 'C3899739', 'C4042843', 'C4048187', 'C4049986', 'C4050123', 'C4277675', 'C4281746', 'C4318409', 'C4327509', 'C4327769', 'C4688304', 'C4699379', 'C4724044', 'C4725798', 'C4744949', 'C5236002', 'C5419559', 'C5444086', 'C5575473']",DDX54 regulates transcriptome dynamics during DNA damage response [RNA-seq1],DDX54 regulates transcriptome dynamics during DNA damage response [RNA-seq2]
