comparison,gse_1,gse_2,tfidf_cosine,shared_cui_count,shared_idf_sum,shared_cuis,title_1,title_2
within_mouse,GSE101623,GSE101624,1.0000000000000009,165,965.694778079165,"['C0001554', 'C0001563', 'C0005884', 'C0014457', 'C0014467', 'C0017189', 'C0018889', 'C0018893', 'C0018956', 'C0020962', 'C0021135', 'C0021368', 'C0021375', 'C0021759', 'C0022752', 'C0025268', 'C0025914', 'C0025929', 'C0026809', 'C0027882', 'C0027895', 'C0031327', 'C0032285', 'C0033414', 'C0033684', 'C0036536', 'C0036537', 'C0043240', 'C0085424', 'C0086860', 'C0149784', 'C0158328', 'C0181909', 'C0200638', 'C0205263', 'C0205410', 'C0205412', 'C0206111', 'C0214743', 'C0229601', 'C0234402', 'C0237834', 'C0242893', 'C0242896', 'C0245355', 'C0321331', 'C0332281', 'C0332307', 'C0333348', 'C0334094', 'C0376554', 'C0439856', 'C0441712', 'C0441729', 'C0441730', 'C0441833', 'C0441865', 'C0449416', 'C0449878', 'C0457345', 'C0521110', 'C0521362', 'C0596290', 'C0597357', 'C0683598', 'C0684224', 'C0687744', 'C0700287', 'C0857127', 'C0870252', 'C0871261', 'C1136254', 'C1149220', 'C1149240', 'C1149243', 'C1155003', 'C1155065', 'C1155074', 'C1155229', 'C1158950', 'C1160577', 'C1257890', 'C1290884', 'C1292856', 'C1293107', 'C1306759', 'C1323291', 'C1326120', 'C1327616', 'C1333802', 'C1334103', 'C1334121', 'C1334127', 'C1334887', 'C1413131', 'C1417166', 'C1442099', 'C1444748', 'C1511124', 'C1511726', 'C1514485', 'C1514892', 'C1515655', 'C1517160', 'C1518291', 'C1519504', 'C1521746', 'C1523156', 'C1523250', 'C1524059', 'C1533691', 'C1533734', 'C1538474', 'C1546437', 'C1547969', 'C1699801', 'C1702088', 'C1704632', 'C1705849', 'C1705919', 'C1706376', 'C1706817', 'C1706979', 'C1708423', 'C1708436', 'C1708439', 'C1708574', 'C1720799', 'C1749719', 'C1819831', 'C1875701', 'C1879547', 'C1880022', 'C1948023', 'C1948177', 'C2240374', 'C2247677', 'C2346620', 'C2348354', 'C2827718', 'C2828008', 'C2911692', 'C2949735', 'C3203348', 'C3245479', 'C3469597', 'C3658037', 'C3714636', 'C3714741', 'C3875321', 'C3888063', 'C4255046', 'C4264487', 'C4288068', 'C4299166', 'C4329011', 'C4329015', 'C4505109', 'C4521696', 'C4684754', 'C5236420', 'C5401424', 'C5418983', 'C5441768', 'C5554589']",The neuropeptide Neuromedin U stimulates innate lymphoid cells and promotes type 2 inflammation [ILC2 and ILC3],The neuropeptide Neuromedin U stimulates innate lymphoid cells and promotes type 2 inflammation [NMU]
within_mouse,GSE76864,GSE76865,1.0000000000000009,109,622.0122263912525,"['C0001688', 'C0003241', 'C0003242', 'C0004561', 'C0007595', 'C0007634', 'C0008039', 'C0008555', 'C0011435', 'C0014442', 'C0017373', 'C0018081', 'C0020855', 'C0020964', 'C0020969', 'C0021027', 'C0023172', 'C0023980', 'C0025260', 'C0026764', 'C0027203', 'C0028877', 'C0029213', 'C0031067', 'C0032112', 'C0037783', 'C0040223', 'C0041755', 'C0075019', 'C0079411', 'C0085862', 'C0086344', 'C0205195', 'C0206071', 'C0221106', 'C0243107', 'C0282491', 'C0312737', 'C0312738', 'C0392756', 'C0442740', 'C0442805', 'C0443286', 'C0443933', 'C0543419', 'C0546816', 'C0581142', 'C0678723', 'C0682638', 'C0682639', 'C0700327', 'C0813154', 'C0879626', 'C0949779', 'C1155009', 'C1155010', 'C1155011', 'C1155229', 'C1167408', 'C1280500', 'C1367452', 'C1421876', 'C1423721', 'C1425942', 'C1510827', 'C1511726', 'C1512667', 'C1516710', 'C1522642', 'C1527148', 'C1546437', 'C1547403', 'C1548318', 'C1621287', 'C1624602', 'C1654621', 'C1704387', 'C1704663', 'C1706377', 'C1707814', 'C1720956', 'C1749800', 'C1880177', 'C1882348', 'C1947911', 'C1955926', 'C1959632', 'C1998882', 'C2248828', 'C2936254', 'C2936279', 'C2936412', 'C3146294', 'C3245479', 'C3537453', 'C3538973', 'C3541383', 'C3665580', 'C3714741', 'C3811910', 'C4277541', 'C4282129', 'C4289823', 'C4521602', 'C4524906', 'C4761515', 'C5206618', 'C5236002', 'C5399708']",Independent roles of switching and hypermutation in the development and persistence of B lymphocyte memory [IgM_IgG1],Independent roles of switching and hypermutation in the development and persistence of B lymphocyte memory [Nurr77]
within_mouse,GSE73559,GSE73560,1.0000000000000009,110,565.1200405876282,"['C0004561', 'C0007634', 'C0011155', 'C0011377', 'C0011435', 'C0015576', 'C0017340', 'C0018284', 'C0023434', 'C0025018', 'C0025914', 'C0025929', 'C0026249', 'C0026809', 'C0027424', 'C0027429', 'C0028778', 'C0028877', 'C0031715', 'C0033684', 'C0037088', 'C0038250', 'C0040648', 'C0085828', 'C0086376', 'C0106269', 'C0139916', 'C0162493', 'C0162508', 'C0205224', 'C0205263', 'C0216510', 'C0243095', 'C0243107', 'C0264995', 'C0299544', 'C0301863', 'C0332206', 'C0348000', 'C0380568', 'C0424215', 'C0441712', 'C0458003', 'C0600449', 'C0678723', 'C0752248', 'C0812314', 'C0876956', 'C1136359', 'C1155874', 'C1158209', 'C1158770', 'C1158800', 'C1158886', 'C1158897', 'C1292769', 'C1301584', 'C1327302', 'C1332753', 'C1332838', 'C1334481', 'C1336788', 'C1413131', 'C1413336', 'C1413337', 'C1414306', 'C1414315', 'C1416659', 'C1417102', 'C1417103', 'C1417166', 'C1420631', 'C1505738', 'C1506307', 'C1512631', 'C1513019', 'C1527148', 'C1533729', 'C1546847', 'C1548958', 'C1564654', 'C1566330', 'C1566664', 'C1621445', 'C1704727', 'C1705294', 'C1706376', 'C1708804', 'C1710463', 'C1720950', 'C1879547', 'C1882071', 'C1955926', 'C2349975', 'C2607943', 'C2700055', 'C2755041', 'C2825141', 'C2926606', 'C3271456', 'C3536909', 'C3810539', 'C3853838', 'C3890161', 'C4277675', 'C4505109', 'C4521390', 'C5202871', 'C5236284', 'C5552712']",Gene expression analysis to identify Klf2 target genes in B-cell progenitors [+Klf2],Gene expression analysis to identify Klf2 target genes in B-cell progenitors [Klf2_KO]
within_human,GSE94528,GSE94999,1.0000000000000009,109,564.9372137508017,"['C0001272', 'C0001688', 'C0004561', 'C0006826', 'C0007634', 'C0014511', 'C0014597', 'C0017337', 'C0020792', 'C0021920', 'C0023172', 'C0026882', 'C0031843', 'C0035280', 'C0035687', 'C0039795', 'C0079429', 'C0087111', 'C0162388', 'C0162771', 'C0171406', 'C0184551', 'C0205396', 'C0221284', 'C0221908', 'C0222648', 'C0226896', 'C0302350', 'C0333117', 'C0376545', 'C0439855', 'C0442027', 'C0524983', 'C0542341', 'C0543419', 'C0596240', 'C0596611', 'C0599733', 'C0600448', 'C0679058', 'C0700205', 'C0723712', 'C0879626', 'C0998265', 'C1159372', 'C1175872', 'C1280500', 'C1282927', 'C1306459', 'C1315032', 'C1318143', 'C1332838', 'C1417679', 'C1419980', 'C1419981', 'C1419992', 'C1421254', 'C1511726', 'C1515926', 'C1521840', 'C1522740', 'C1527415', 'C1538431', 'C1546437', 'C1547140', 'C1547427', 'C1547699', 'C1704241', 'C1705273', 'C1705285', 'C1707660', 'C1709060', 'C1753315', 'C1806781', 'C1883559', 'C2245017', 'C2350002', 'C2610186', 'C2700323', 'C2700640', 'C2707253', 'C2754130', 'C2986383', 'C3245479', 'C3245505', 'C3273629', 'C3538866', 'C3639990', 'C3714741', 'C3887983', 'C3899739', 'C4053868', 'C4277541', 'C4277580', 'C4331307', 'C4505109', 'C4524830', 'C4524831', 'C4524832', 'C4524834', 'C5203340', 'C5205215', 'C5238285', 'C5419559', 'C5444688', 'C5552789', 'C5553007', 'C5555094', 'C5667406']","H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [K562]","H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [Nalm-6]"
within_human,GSE81074,GSE81080,1.0000000000000009,108,547.5248527564348,"['C0002793', 'C0002874', 'C0004561', 'C0005839', 'C0005847', 'C0005953', 'C0005955', 'C0007589', 'C0007634', 'C0011155', 'C0014257', 'C0015965', 'C0017262', 'C0018956', 'C0018957', 'C0021135', 'C0023172', 'C0025485', 'C0033052', 'C0033268', 'C0034107', 'C0035330', 'C0037088', 'C0038250', 'C0039585', 'C0050668', 'C0086418', 'C0162429', 'C0171406', 'C0185117', 'C0205409', 'C0205615', 'C0205618', 'C0225336', 'C0225992', 'C0229619', 'C0232117', 'C0243095', 'C0268255', 'C0332161', 'C0332290', 'C0376544', 'C0376678', 'C0387990', 'C0391850', 'C0392761', 'C0439855', 'C0443196', 'C0521457', 'C0524983', 'C0596508', 'C0599156', 'C0669365', 'C0680242', 'C0682906', 'C0729291', 'C0750927', 'C0870134', 'C1113687', 'C1135154', 'C1149454', 'C1159442', 'C1171346', 'C1183499', 'C1415652', 'C1415932', 'C1425328', 'C1428338', 'C1511938', 'C1516050', 'C1517749', 'C1522182', 'C1522740', 'C1524057', 'C1524083', 'C1533691', 'C1548180', 'C1548221', 'C1561593', 'C1623416', 'C1704241', 'C1707455', 'C1709772', 'C1764827', 'C1879547', 'C1880097', 'C1947910', 'C2245017', 'C2346451', 'C2348235', 'C2607943', 'C2700061', 'C2825141', 'C2827718', 'C2911684', 'C2926606', 'C2945687', 'C3714653', 'C3854321', 'C3899739', 'C4019071', 'C4019079', 'C4086236', 'C4318409', 'C4331206', 'C4505109', 'C4699379', 'C4706387']",Differentiation of human embryonic stem cells to HOXA+ hemogenic vasculature that resembles the aorta-gonad-mesonephros,Differentiation of human embryonic stem cells to HOXA+ hemogenic vasculature that resembles the aorta-gonad-mesonephros
within_mouse,GSE77736,GSE77740,1.0000000000000009,103,539.1825278108772,"['C0001272', 'C0001779', 'C0001811', 'C0004561', 'C0005377', 'C0005507', 'C0007634', 'C0008972', 'C0015609', 'C0018956', 'C0019409', 'C0037179', 'C0038250', 'C0054952', 'C0054953', 'C0054968', 'C0079183', 'C0086574', 'C0087136', 'C0108768', 'C0205171', 'C0205245', 'C0205314', 'C0205329', 'C0221106', 'C0242960', 'C0243073', 'C0332281', 'C0392747', 'C0392756', 'C0439677', 'C0442805', 'C0443172', 'C0456984', 'C0502723', 'C0521115', 'C0531165', 'C0542279', 'C0542341', 'C0557651', 'C0598744', 'C0679622', 'C0679846', 'C0680701', 'C0684079', 'C0684312', 'C0729333', 'C0745777', 'C0870134', 'C0871133', 'C0887909', 'C0947630', 'C1114365', 'C1136335', 'C1136359', 'C1150565', 'C1156820', 'C1185625', 'C1417018', 'C1457869', 'C1510438', 'C1511741', 'C1514544', 'C1515653', 'C1516366', 'C1516448', 'C1517945', 'C1518071', 'C1522642', 'C1549113', 'C1704387', 'C1704653', 'C1705366', 'C1705923', 'C1707814', 'C1817756', 'C1861101', 'C1948049', 'C1955939', 'C2346474', 'C2347852', 'C2349967', 'C2603343', 'C2700217', 'C2936194', 'C2986730', 'C2986743', 'C2986744', 'C3244125', 'C3245505', 'C3826426', 'C3898805', 'C4086963', 'C4521224', 'C4743287', 'C4760607', 'C5236002', 'C5401424', 'C5417695', 'C5419061', 'C5554878', 'C5556889', 'C5669539']",Single Novel single cell assay reveals progressive lymphoid   defect in aging multipotent hematopoietic progenitors  Cell RNA-seq reveals LMPP clonal dynamics in aging.,Single Novel single cell assay reveals progressive lymphoid defect in aging multipotent hematopoietic progenitors cell RNA-seq reveals LMPP clonal dynamics in aging.
human_mouse,GSE103658,GSE103725,1.0000000000000009,101,496.886869364311,"['C0001792', 'C0002976', 'C0015609', 'C0017262', 'C0019409', 'C0025202', 'C0025361', 'C0025914', 'C0025929', 'C0026809', 'C0039484', 'C0039798', 'C0041904', 'C0086418', 'C0087111', 'C0151779', 'C0162415', 'C0185117', 'C0205179', 'C0205195', 'C0206735', 'C0237834', 'C0242960', 'C0302600', 'C0332161', 'C0333348', 'C0349538', 'C0392747', 'C0442043', 'C0443172', 'C0543478', 'C0591833', 'C0599946', 'C0679846', 'C0683598', 'C0752248', 'C0796561', 'C0805525', 'C0877373', 'C0924206', 'C0935456', 'C0965743', 'C1257776', 'C1257975', 'C1264633', 'C1279919', 'C1279941', 'C1302746', 'C1326956', 'C1334699', 'C1367482', 'C1413131', 'C1417166', 'C1425745', 'C1442099', 'C1513143', 'C1514544', 'C1514562', 'C1514892', 'C1515926', 'C1516448', 'C1516710', 'C1517945', 'C1521726', 'C1521970', 'C1522326', 'C1533734', 'C1554103', 'C1609982', 'C1705169', 'C1705357', 'C1705358', 'C1706388', 'C1879753', 'C1947911', 'C1999216', 'C2249734', 'C2346469', 'C2348519', 'C2362314', 'C2911684', 'C2936194', 'C2936263', 'C3178810', 'C3178844', 'C3179204', 'C3811910', 'C3826426', 'C3830361', 'C3838813', 'C3854321', 'C3894549', 'C4235501', 'C4318409', 'C4521853', 'C4699379', 'C4723835', 'C4727081', 'C5202624', 'C5202892', 'C5575501']",Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment (RNA-seq_Patient.batch3),Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment [Y1.7.FPKM.batch1.2]
within_mouse,GSE103185,GSE104325,1.0000000000000009,85,417.0469325920042,"['C0001779', 'C0004909', 'C0006104', 'C0007613', 'C0012873', 'C0014406', 'C0017262', 'C0017263', 'C0017337', 'C0024660', 'C0025344', 'C0025723', 'C0025831', 'C0027882', 'C0031843', 'C0032782', 'C0033414', 'C0040649', 'C0079429', 'C0149566', 'C0153633', 'C0162326', 'C0173924', 'C0185117', 'C0232804', 'C0237607', 'C0333562', 'C0336535', 'C0376452', 'C0439531', 'C0442519', 'C0449774', 'C0542341', 'C0596545', 'C0597677', 'C0678908', 'C0812327', 'C0814002', 'C0871109', 'C1145667', 'C1148674', 'C1160700', 'C1167622', 'C1184743', 'C1279919', 'C1323350', 'C1325014', 'C1332461', 'C1336596', 'C1414121', 'C1414123', 'C1417098', 'C1417679', 'C1511680', 'C1517486', 'C1522240', 'C1527852', 'C1561960', 'C1657987', 'C1705273', 'C1710463', 'C1743053', 'C1823482', 'C1948053', 'C1951340', 'C2347804', 'C2348048', 'C2610645', 'C2697959', 'C2735349', 'C2827063', 'C3536933', 'C3548902', 'C3830361', 'C4086963', 'C4266577', 'C4521054', 'C4724382', 'C4725779', 'C4760607', 'C5203057', 'C5203058', 'C5203059', 'C5203061', 'C5236124']",Early-life gene expression in neurons modulates lasting epigenetic states. [RNA-Seq],Early-life gene expression in neurons modulates lasting epigenetic states. [RNA-seq 2]
within_human,GSE96562,GSE96563,1.0000000000000004,149,773.9526121195225,"['C0003320', 'C0003334', 'C0003341', 'C0004561', 'C0005767', 'C0005768', 'C0005773', 'C0006558', 'C0007595', 'C0007634', 'C0009013', 'C0011854', 'C0011860', 'C0012634', 'C0012854', 'C0013018', 'C0017395', 'C0017925', 'C0019167', 'C0019409', 'C0022131', 'C0023172', 'C0025664', 'C0026636', 'C0027361', 'C0028432', 'C0029213', 'C0029896', 'C0030956', 'C0031437', 'C0032930', 'C0033175', 'C0034790', 'C0037088', 'C0037783', 'C0039194', 'C0039215', 'C0040038', 'C0042834', 'C0079399', 'C0080105', 'C0085551', 'C0086582', 'C0150312', 'C0158328', 'C0178693', 'C0205245', 'C0205360', 'C0229664', 'C0231242', 'C0237401', 'C0237876', 'C0242656', 'C0242960', 'C0243095', 'C0274281', 'C0332157', 'C0332290', 'C0348050', 'C0392148', 'C0439234', 'C0439508', 'C0441833', 'C0441889', 'C0442726', 'C0442737', 'C0449851', 'C0456079', 'C0458343', 'C0524889', 'C0524983', 'C0542341', 'C0545082', 'C0567416', 'C0681850', 'C0682639', 'C0687744', 'C0699748', 'C0728853', 'C0752248', 'C0887909', 'C1136359', 'C1158557', 'C1167203', 'C1257890', 'C1428751', 'C1444748', 'C1511124', 'C1511229', 'C1511790', 'C1512346', 'C1515655', 'C1518999', 'C1519504', 'C1520005', 'C1522529', 'C1524057', 'C1527169', 'C1547311', 'C1547707', 'C1550501', 'C1561543', 'C1561544', 'C1561557', 'C1563691', 'C1654621', 'C1704653', 'C1706203', 'C1706821', 'C1708335', 'C1710548', 'C1837514', 'C1854494', 'C1879547', 'C1947901', 'C1948049', 'C1956267', 'C2349001', 'C2350239', 'C2350593', 'C2607943', 'C2697811', 'C2700217', 'C2825141', 'C2826651', 'C2926606', 'C2936412', 'C3245468', 'C3273371', 'C3853838', 'C3854307', 'C3898900', 'C3899739', 'C4048187', 'C4086963', 'C4321509', 'C4520857', 'C4760607', 'C4761515', 'C5237794', 'C5239280', 'C5401001', 'C5417695', 'C5444558', 'C5544432', 'C5551416', 'C5551417', 'C5554878', 'C5669539']",Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (single-cell RNA-seq of T-cell clone),Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (bulk RNA-seq of T-cell clone)
within_human,GSE81497,GSE81498,1.0000000000000004,133,657.0670691661553,"['C0002684', 'C0003015', 'C0005495', 'C0006826', 'C0007600', 'C0007620', 'C0007621', 'C0017256', 'C0017262', 'C0018270', 'C0022827', 'C0026336', 'C0026339', 'C0026661', 'C0027819', 'C0029016', 'C0031327', 'C0031843', 'C0032699', 'C0033713', 'C0034678', 'C0035018', 'C0035335', 'C0035668', 'C0035696', 'C0038952', 'C0038954', 'C0079427', 'C0183461', 'C0185117', 'C0205216', 'C0205227', 'C0220781', 'C0220844', 'C0221284', 'C0278252', 'C0332281', 'C0332453', 'C0332454', 'C0392756', 'C0439064', 'C0439849', 'C0439850', 'C0441126', 'C0441471', 'C0441712', 'C0442797', 'C0524869', 'C0542341', 'C0580413', 'C0596263', 'C0596632', 'C0597611', 'C0598174', 'C0699748', 'C0700095', 'C0700205', 'C0751995', 'C0812287', 'C0851285', 'C0887945', 'C0887955', 'C0998265', 'C1101610', 'C1137610', 'C1159372', 'C1171362', 'C1306459', 'C1315032', 'C1325410', 'C1332838', 'C1337053', 'C1337054', 'C1435181', 'C1511726', 'C1512140', 'C1515670', 'C1517480', 'C1517946', 'C1517973', 'C1517980', 'C1517985', 'C1520005', 'C1521840', 'C1521871', 'C1524059', 'C1546437', 'C1547140', 'C1621966', 'C1705027', 'C1705273', 'C1705423', 'C1705630', 'C1705741', 'C1705759', 'C1705921', 'C1706099', 'C1706221', 'C1706279', 'C1706376', 'C1706979', 'C1708690', 'C1825819', 'C1825998', 'C1880287', 'C1999216', 'C2707253', 'C2825314', 'C2826982', 'C2911660', 'C2911684', 'C3161035', 'C3245479', 'C3714583', 'C3714741', 'C3853906', 'C3854321', 'C3884166', 'C3898448', 'C4054120', 'C4255284', 'C4321488', 'C4528292', 'C4553183', 'C4684960', 'C4699379', 'C4744367', 'C5204434', 'C5237010', 'C5419559', 'C5441593', 'C5444885', 'C5447942']",Multiple mechanisms disrupt let-7 miRNA biogenesis and function in neuroblastoma [Let7Targets],Multiple mechanisms disrupt let-7 miRNA biogenesis and function in neuroblastoma [longRNA]
