comparison,gse_1,gse_2,containment,jaccard,overlap_count,shared_cuis,title_1,title_2
within_mouse,GSE108528,GSE108753,1.0,0.9971590909090909,351,"['C0001272', 'C0001349', 'C0003463', 'C0003765', 'C0004793', 'C0005515', 'C0005516', 'C0007608', 'C0007634', 'C0008972', 'C0008976', 'C0009085', 'C0009319', 'C0009429', 'C0009932', 'C0010176', 'C0010813', 'C0011331', 'C0013081', 'C0013175', 'C0013218', 'C0013227', 'C0017262', 'C0017263', 'C0017272', 'C0017337', 'C0019868', 'C0021054', 'C0021061', 'C0021083', 'C0021368', 'C0021467', 'C0021469', 'C0021745', 'C0021760', 'C0023172', 'C0023621', 'C0023622', 'C0023625', 'C0023810', 'C0024432', 'C0025202', 'C0025360', 'C0026640', 'C0026649', 'C0027361', 'C0027651', 'C0029400', 'C0029877', 'C0030625', 'C0030705', 'C0031542', 'C0033262', 'C0033972', 'C0034330', 'C0035668', 'C0036534', 'C0037083', 'C0039194', 'C0039285', 'C0039286', 'C0039798', 'C0040648', 'C0040649', 'C0040690', 'C0040691', 'C0041365', 'C0041366', 'C0041904', 'C0054954', 'C0054959', 'C0055966', 'C0056447', 'C0065053', 'C0078944', 'C0079189', 'C0079399', 'C0079411', 'C0079429', 'C0085123', 'C0086582', 'C0087111', 'C0123759', 'C0149576', 'C0149784', 'C0150098', 'C0150103', 'C0152036', 'C0162326', 'C0162327', 'C0162493', 'C0175697', 'C0185117', 'C0205195', 'C0205263', 'C0205396', 'C0205409', 'C0205470', 'C0206735', 'C0215469', 'C0215844', 'C0218123', 'C0220723', 'C0221284', 'C0237401', 'C0242613', 'C0243148', 'C0251153', 'C0255808', 'C0255813', 'C0265334', 'C0278348', 'C0282554', 'C0308718', 'C0332281', 'C0332293', 'C0333348', 'C0349538', 'C0370079', 'C0376249', 'C0376674', 'C0392747', 'C0392756', 'C0392760', 'C0402573', 'C0410207', 'C0429865', 'C0439117', 'C0439142', 'C0439603', 'C0443172', 'C0521115', 'C0524932', 'C0540463', 'C0552545', 'C0557651', 'C0559189', 'C0596993', 'C0598934', 'C0599894', 'C0679846', 'C0683312', 'C0699788', 'C0728721', 'C0728976', 'C0752248', 'C0796561', 'C0812246', 'C0812376', 'C0851285', 'C0871261', 'C0871396', 'C0872147', 'C0876956', 'C0879338', 'C0887899', 'C0920321', 'C0920357', 'C0935996', 'C0947630', 'C1096775', 'C1099914', 'C1136359', 'C1148658', 'C1149181', 'C1149217', 'C1149241', 'C1154415', 'C1154580', 'C1158770', 'C1158817', 'C1158830', 'C1159372', 'C1160700', 'C1179412', 'C1257890', 'C1260953', 'C1285529', 'C1302746', 'C1312689', 'C1314939', 'C1326956', 'C1327616', 'C1332821', 'C1332838', 'C1333527', 'C1334085', 'C1334102', 'C1334122', 'C1334523', 'C1335836', 'C1335962', 'C1363982', 'C1363984', 'C1366645', 'C1413514', 'C1415363', 'C1416474', 'C1417679', 'C1418288', 'C1419875', 'C1420453', 'C1420631', 'C1429778', 'C1441672', 'C1448177', 'C1451001', 'C1453673', 'C1456820', 'C1511142', 'C1511726', 'C1512678', 'C1514562', 'C1515926', 'C1516447', 'C1516710', 'C1517486', 'C1519249', 'C1519316', 'C1519692', 'C1520209', 'C1521840', 'C1521889', 'C1522326', 'C1524094', 'C1524115', 'C1527036', 'C1527132', 'C1527136', 'C1527194', 'C1533734', 'C1539081', 'C1546437', 'C1546706', 'C1547100', 'C1547129', 'C1550043', 'C1550652', 'C1550655', 'C1552009', 'C1552163', 'C1555715', 'C1561548', 'C1564654', 'C1566330', 'C1566664', 'C1578706', 'C1621636', 'C1621968', 'C1625133', 'C1628982', 'C1659046', 'C1698754', 'C1704239', 'C1704332', 'C1704632', 'C1704653', 'C1705169', 'C1705242', 'C1705502', 'C1705582', 'C1705596', 'C1705908', 'C1705923', 'C1706001', 'C1706002', 'C1706233', 'C1706817', 'C1707170', 'C1707328', 'C1707814', 'C1708225', 'C1708639', 'C1708943', 'C1709595', 'C1710304', 'C1718423', 'C1834582', 'C1879646', 'C1882495', 'C1883067', 'C1947911', 'C1948049', 'C1995603', 'C1998793', 'C2249734', 'C2262744', 'C2347946', 'C2349200', 'C2350292', 'C2603343', 'C2678045', 'C2697656', 'C2752311', 'C2753500', 'C2911684', 'C2911692', 'C2936626', 'C3146294', 'C3178810', 'C3179020', 'C3242262', 'C3244265', 'C3245468', 'C3245479', 'C3245505', 'C3273930', 'C3463820', 'C3537152', 'C3657771', 'C3658215', 'C3687832', 'C3714634', 'C3714741', 'C3811910', 'C3827752', 'C3844738', 'C3853789', 'C3854321', 'C3858632', 'C3887682', 'C3894549', 'C4050365', 'C4055468', 'C4084890', 'C4086901', 'C4086963', 'C4235501', 'C4284307', 'C4331422', 'C4521390', 'C4527316', 'C4683346', 'C4687476', 'C4699379', 'C4724001', 'C4724044', 'C4724556', 'C4727061', 'C4727062', 'C4744465', 'C4744466', 'C5235881', 'C5236074', 'C5236396', 'C5401020', 'C5419559', 'C5441750', 'C5552712', 'C5554878', 'C5555853']",Myeloid-targeted immunotherapies act in synergy to induce inflammation and anti-tumor immunity,Myeloid-targeted immunotherapies act in synergy to induce inflammation and anti-tumor immunity
within_mouse,GSE81115,GSE81117,1.0,1.0,181,"['C0000702', 'C0000857', 'C0001527', 'C0003376', 'C0004083', 'C0005508', 'C0005775', 'C0006521', 'C0007009', 'C0007102', 'C0007582', 'C0008546', 'C0009368', 'C0011432', 'C0012155', 'C0012159', 'C0012854', 'C0014406', 'C0014442', 'C0014445', 'C0015691', 'C0018748', 'C0019652', 'C0023884', 'C0023899', 'C0025018', 'C0025361', 'C0025723', 'C0028623', 'C0031437', 'C0033268', 'C0033474', 'C0033684', 'C0035070', 'C0036745', 'C0037088', 'C0037420', 'C0040300', 'C0040649', 'C0043240', 'C0085552', 'C0085973', 'C0086153', 'C0086376', 'C0106269', 'C0139916', 'C0162493', 'C0171406', 'C0181813', 'C0200898', 'C0205227', 'C0205246', 'C0205349', 'C0206631', 'C0220802', 'C0221103', 'C0242297', 'C0243095', 'C0301625', 'C0311400', 'C0332324', 'C0332459', 'C0336535', 'C0374711', 'C0391978', 'C0392214', 'C0392747', 'C0424589', 'C0439064', 'C0439849', 'C0439855', 'C0441712', 'C0442519', 'C0443172', 'C0445623', 'C0449416', 'C0470187', 'C0524928', 'C0524940', 'C0542479', 'C0546981', 'C0596164', 'C0596306', 'C0597415', 'C0597677', 'C0598312', 'C0600678', 'C0679846', 'C0686905', 'C0721399', 'C0728721', 'C0751984', 'C0870883', 'C0872079', 'C0947630', 'C1000792', 'C1017675', 'C1155650', 'C1155652', 'C1155665', 'C1156200', 'C1156201', 'C1158765', 'C1158770', 'C1158817', 'C1158830', 'C1159269', 'C1166675', 'C1167395', 'C1280500', 'C1291185', 'C1291847', 'C1300196', 'C1325550', 'C1326294', 'C1326296', 'C1328819', 'C1384599', 'C1442080', 'C1511691', 'C1516559', 'C1522640', 'C1522740', 'C1524026', 'C1547025', 'C1548180', 'C1549512', 'C1552863', 'C1554963', 'C1704241', 'C1704675', 'C1704770', 'C1704771', 'C1705181', 'C1705919', 'C1706376', 'C1708574', 'C1857657', 'C1956351', 'C2245017', 'C2347565', 'C2348867', 'C2607943', 'C2613317', 'C2684091', 'C2707259', 'C2825141', 'C2926606', 'C2936393', 'C2985398', 'C2986815', 'C3271585', 'C3540017', 'C3540048', 'C3540772', 'C3548902', 'C3658343', 'C3668949', 'C3827727', 'C3830527', 'C3887843', 'C3888384', 'C3898883', 'C4018878', 'C4024615', 'C4037986', 'C4071907', 'C4084880', 'C4263342', 'C4277675', 'C4277681', 'C4289285', 'C4289767', 'C4319951', 'C4329663', 'C4521696', 'C4724382', 'C4724874', 'C5236420', 'C5238280', 'C5425989']",Hepatic gene expression co-regulated by diet-microbiota interactions (14 wk),Hepatic gene expression co-regulated by diet-microbiota interactions (19 wk)
within_mouse,GSE101623,GSE101624,1.0,1.0,165,"['C0001554', 'C0001563', 'C0005884', 'C0014457', 'C0014467', 'C0017189', 'C0018889', 'C0018893', 'C0018956', 'C0020962', 'C0021135', 'C0021368', 'C0021375', 'C0021759', 'C0022752', 'C0025268', 'C0025914', 'C0025929', 'C0026809', 'C0027882', 'C0027895', 'C0031327', 'C0032285', 'C0033414', 'C0033684', 'C0036536', 'C0036537', 'C0043240', 'C0085424', 'C0086860', 'C0149784', 'C0158328', 'C0181909', 'C0200638', 'C0205263', 'C0205410', 'C0205412', 'C0206111', 'C0214743', 'C0229601', 'C0234402', 'C0237834', 'C0242893', 'C0242896', 'C0245355', 'C0321331', 'C0332281', 'C0332307', 'C0333348', 'C0334094', 'C0376554', 'C0439856', 'C0441712', 'C0441729', 'C0441730', 'C0441833', 'C0441865', 'C0449416', 'C0449878', 'C0457345', 'C0521110', 'C0521362', 'C0596290', 'C0597357', 'C0683598', 'C0684224', 'C0687744', 'C0700287', 'C0857127', 'C0870252', 'C0871261', 'C1136254', 'C1149220', 'C1149240', 'C1149243', 'C1155003', 'C1155065', 'C1155074', 'C1155229', 'C1158950', 'C1160577', 'C1257890', 'C1290884', 'C1292856', 'C1293107', 'C1306759', 'C1323291', 'C1326120', 'C1327616', 'C1333802', 'C1334103', 'C1334121', 'C1334127', 'C1334887', 'C1413131', 'C1417166', 'C1442099', 'C1444748', 'C1511124', 'C1511726', 'C1514485', 'C1514892', 'C1515655', 'C1517160', 'C1518291', 'C1519504', 'C1521746', 'C1523156', 'C1523250', 'C1524059', 'C1533691', 'C1533734', 'C1538474', 'C1546437', 'C1547969', 'C1699801', 'C1702088', 'C1704632', 'C1705849', 'C1705919', 'C1706376', 'C1706817', 'C1706979', 'C1708423', 'C1708436', 'C1708439', 'C1708574', 'C1720799', 'C1749719', 'C1819831', 'C1875701', 'C1879547', 'C1880022', 'C1948023', 'C1948177', 'C2240374', 'C2247677', 'C2346620', 'C2348354', 'C2827718', 'C2828008', 'C2911692', 'C2949735', 'C3203348', 'C3245479', 'C3469597', 'C3658037', 'C3714636', 'C3714741', 'C3875321', 'C3888063', 'C4255046', 'C4264487', 'C4288068', 'C4299166', 'C4329011', 'C4329015', 'C4505109', 'C4521696', 'C4684754', 'C5236420', 'C5401424', 'C5418983', 'C5441768', 'C5554589']",The neuropeptide Neuromedin U stimulates innate lymphoid cells and promotes type 2 inflammation [ILC2 and ILC3],The neuropeptide Neuromedin U stimulates innate lymphoid cells and promotes type 2 inflammation [NMU]
within_mouse,GSE62292,GSE62294,1.0,1.0,155,"['C0001779', 'C0003015', 'C0005615', 'C0008679', 'C0008972', 'C0009932', 'C0011017', 'C0018017', 'C0021467', 'C0021469', 'C0021485', 'C0021492', 'C0022646', 'C0022663', 'C0023602', 'C0025914', 'C0025929', 'C0026237', 'C0026606', 'C0026661', 'C0026809', 'C0028952', 'C0028953', 'C0028956', 'C0033268', 'C0033770', 'C0034379', 'C0034754', 'C0035668', 'C0035696', 'C0039401', 'C0039795', 'C0073434', 'C0079925', 'C0087111', 'C0151747', 'C0162772', 'C0178602', 'C0203408', 'C0205177', 'C0205681', 'C0220825', 'C0227614', 'C0227665', 'C0243148', 'C0268731', 'C0289313', 'C0302350', 'C0302828', 'C0308718', 'C0332174', 'C0332208', 'C0332293', 'C0332306', 'C0392756', 'C0439228', 'C0439230', 'C0439505', 'C0441655', 'C0543419', 'C0553257', 'C0557651', 'C0557839', 'C0585023', 'C0596790', 'C0681814', 'C0699748', 'C0723712', 'C0728976', 'C0752248', 'C0812281', 'C0887941', 'C0887945', 'C0887955', 'C0947630', 'C1114365', 'C1148523', 'C1149454', 'C1154415', 'C1261322', 'C1272883', 'C1280500', 'C1301751', 'C1332774', 'C1368999', 'C1413131', 'C1417166', 'C1442085', 'C1457869', 'C1506024', 'C1513400', 'C1516048', 'C1520005', 'C1522203', 'C1522326', 'C1522406', 'C1533685', 'C1537719', 'C1546459', 'C1547100', 'C1547427', 'C1548180', 'C1550722', 'C1555289', 'C1561540', 'C1561643', 'C1563761', 'C1628982', 'C1705923', 'C1706386', 'C1707814', 'C1709793', 'C1709820', 'C1720830', 'C1744681', 'C1823521', 'C1828121', 'C1861101', 'C1881903', 'C1883685', 'C1999216', 'C2316401', 'C2316786', 'C2316787', 'C2316810', 'C2348382', 'C2349975', 'C2603343', 'C2930505', 'C2936621', 'C2936622', 'C2979882', 'C2987125', 'C3178810', 'C3245487', 'C3263700', 'C3463820', 'C3668946', 'C3828653', 'C3846720', 'C3898448', 'C4049614', 'C4277666', 'C4288440', 'C4331422', 'C4527016', 'C4553183', 'C4684960', 'C5204434', 'C5235881', 'C5236163', 'C5237224', 'C5401068', 'C5552813', 'C5555301']",mRNA profiling of Col4a3-Knockout Alport Syndrome mouse model treated with inhibitor of miR-21 at 9 weeks of age,mRNA profiling of Col4a3-Knockout Alport Syndrome mouse model treated with inhibitor of miR-21 at 5.5 weeks of age
within_mouse,GSE85385,GSE85388,1.0,0.9863945578231292,145,"['C0001807', 'C0003015', 'C0004561', 'C0005967', 'C0006118', 'C0007600', 'C0007621', 'C0007634', 'C0008059', 'C0008096', 'C0009375', 'C0017262', 'C0017337', 'C0019647', 'C0019652', 'C0021467', 'C0021469', 'C0022665', 'C0022827', 'C0023172', 'C0024337', 'C0025914', 'C0025929', 'C0026336', 'C0026339', 'C0026606', 'C0026809', 'C0026882', 'C0027651', 'C0031327', 'C0032639', 'C0037930', 'C0039795', 'C0039798', 'C0079429', 'C0083956', 'C0086418', 'C0087111', 'C0185027', 'C0185117', 'C0205177', 'C0205263', 'C0221284', 'C0243077', 'C0302350', 'C0334094', 'C0441655', 'C0441712', 'C0456984', 'C0524983', 'C0580822', 'C0596263', 'C0596290', 'C0596611', 'C0597611', 'C0600499', 'C0680063', 'C0723712', 'C0857127', 'C0919509', 'C0920299', 'C1145667', 'C1148674', 'C1149454', 'C1154415', 'C1159372', 'C1167622', 'C1172384', 'C1323350', 'C1325724', 'C1328819', 'C1331371', 'C1332838', 'C1333368', 'C1335252', 'C1415427', 'C1415431', 'C1415432', 'C1415439', 'C1417679', 'C1424771', 'C1426975', 'C1442482', 'C1446409', 'C1455722', 'C1512140', 'C1514241', 'C1514485', 'C1518291', 'C1521840', 'C1522326', 'C1524059', 'C1533734', 'C1547300', 'C1547427', 'C1548760', 'C1550594', 'C1609982', 'C1623167', 'C1628982', 'C1705169', 'C1705285', 'C1706376', 'C1706979', 'C1948020', 'C2610645', 'C2746041', 'C2825490', 'C2911684', 'C2959654', 'C2986658', 'C3161035', 'C3244125', 'C3271585', 'C3273351', 'C3463820', 'C3494348', 'C3494414', 'C3540522', 'C3540523', 'C3640077', 'C3668946', 'C3714583', 'C3812269', 'C3820983', 'C3853906', 'C3854321', 'C3899739', 'C4054715', 'C4318409', 'C4505109', 'C4526667', 'C4526752', 'C4526753', 'C4529963', 'C4699379', 'C4723731', 'C4723841', 'C4727483', 'C4727568', 'C5419559', 'C5420594', 'C5441588', 'C5552842', 'C5575703']",EZH2 is a potential therapeutic target for H3K27M mutant paediatric gliomas [RNA-Seq - mouse cell lines],EZH2 is a potential therapeutic target for H3K27M mutant paediatric gliomas [RNA-Seq mouse tumors]
within_mouse,GSE84545,GSE84547,1.0,0.9863013698630136,144,"['C0001688', 'C0001779', 'C0001783', 'C0002793', 'C0004927', 'C0006104', 'C0007589', 'C0007620', 'C0007776', 'C0009802', 'C0009967', 'C0011435', 'C0013081', 'C0014442', 'C0014445', 'C0015435', 'C0015576', 'C0015745', 'C0017260', 'C0017262', 'C0017340', 'C0023977', 'C0025723', 'C0026606', 'C0027746', 'C0027882', 'C0028877', 'C0032782', 'C0033684', 'C0034471', 'C0038164', 'C0038952', 'C0038954', 'C0041904', 'C0042706', 'C0042731', 'C0042736', 'C0069065', 'C0079160', 'C0153633', 'C0175173', 'C0205082', 'C0205227', 'C0215844', 'C0221106', 'C0243107', 'C0332268', 'C0348080', 'C0376452', 'C0392747', 'C0423909', 'C0442805', 'C0443172', 'C0443252', 'C0456387', 'C0458003', 'C0543419', 'C0600253', 'C0678723', 'C0679846', 'C0680063', 'C0686907', 'C0814002', 'C0851285', 'C0871109', 'C0872079', 'C0879626', 'C0893445', 'C1113654', 'C1136102', 'C1154349', 'C1158770', 'C1159442', 'C1159970', 'C1171362', 'C1257900', 'C1280500', 'C1301584', 'C1326956', 'C1327622', 'C1332713', 'C1334073', 'C1335836', 'C1412363', 'C1415831', 'C1417683', 'C1417684', 'C1421348', 'C1422201', 'C1438723', 'C1442161', 'C1506697', 'C1511680', 'C1511726', 'C1511760', 'C1511938', 'C1514485', 'C1515670', 'C1516924', 'C1517945', 'C1518294', 'C1521746', 'C1527148', 'C1546437', 'C1546847', 'C1547227', 'C1547231', 'C1550025', 'C1561581', 'C1701901', 'C1704782', 'C1705253', 'C1708715', 'C1837503', 'C1879547', 'C1880274', 'C1963686', 'C2239666', 'C2248126', 'C2249734', 'C2755041', 'C2917212', 'C2945687', 'C2959953', 'C3245479', 'C3536933', 'C3548902', 'C3714741', 'C3890775', 'C3894547', 'C3894549', 'C4019422', 'C4235501', 'C4235502', 'C4266577', 'C4277541', 'C4479344', 'C4505109', 'C4704705', 'C5203119', 'C5236002', 'C5237010', 'C5444885', 'C5575473']",Loss of Uhrf1 in neural stem cells leads to activation of retroviral elements and delayed neurodegeneration [E16],Loss of Uhrf1 in neural stem cells leads to activation of retroviral elements and delayed neurodegeneration [E16VZ]
within_mouse,GSE84547,GSE84548,1.0,0.972972972972973,144,"['C0001688', 'C0001779', 'C0001783', 'C0002793', 'C0004927', 'C0006104', 'C0007589', 'C0007620', 'C0007776', 'C0009802', 'C0009967', 'C0011435', 'C0013081', 'C0014442', 'C0014445', 'C0015435', 'C0015576', 'C0015745', 'C0017260', 'C0017262', 'C0017340', 'C0023977', 'C0025723', 'C0026606', 'C0027746', 'C0027882', 'C0028877', 'C0032782', 'C0033684', 'C0034471', 'C0038164', 'C0038952', 'C0038954', 'C0041904', 'C0042706', 'C0042731', 'C0042736', 'C0069065', 'C0079160', 'C0153633', 'C0175173', 'C0205082', 'C0205227', 'C0215844', 'C0221106', 'C0243107', 'C0332268', 'C0348080', 'C0376452', 'C0392747', 'C0423909', 'C0442805', 'C0443172', 'C0443252', 'C0456387', 'C0458003', 'C0543419', 'C0600253', 'C0678723', 'C0679846', 'C0680063', 'C0686907', 'C0814002', 'C0851285', 'C0871109', 'C0872079', 'C0879626', 'C0893445', 'C1113654', 'C1136102', 'C1154349', 'C1158770', 'C1159442', 'C1159970', 'C1171362', 'C1257900', 'C1280500', 'C1301584', 'C1326956', 'C1327622', 'C1332713', 'C1334073', 'C1335836', 'C1412363', 'C1415831', 'C1417683', 'C1417684', 'C1421348', 'C1422201', 'C1438723', 'C1442161', 'C1506697', 'C1511680', 'C1511726', 'C1511760', 'C1511938', 'C1514485', 'C1515670', 'C1516924', 'C1517945', 'C1518294', 'C1521746', 'C1527148', 'C1546437', 'C1546847', 'C1547227', 'C1547231', 'C1550025', 'C1561581', 'C1701901', 'C1704782', 'C1705253', 'C1708715', 'C1837503', 'C1879547', 'C1880274', 'C1963686', 'C2239666', 'C2248126', 'C2249734', 'C2755041', 'C2917212', 'C2945687', 'C2959953', 'C3245479', 'C3536933', 'C3548902', 'C3714741', 'C3890775', 'C3894547', 'C3894549', 'C4019422', 'C4235501', 'C4235502', 'C4266577', 'C4277541', 'C4479344', 'C4505109', 'C4704705', 'C5203119', 'C5236002', 'C5237010', 'C5444885', 'C5575473']",Loss of Uhrf1 in neural stem cells leads to activation of retroviral elements and delayed neurodegeneration [E16VZ],Loss of Uhrf1 in neural stem cells leads to activation of retroviral elements and delayed neurodegeneration [P5]
within_mouse,GSE80288,GSE81282,1.0,0.9930555555555556,143,"['C0000768', 'C0001688', 'C0008046', 'C0008972', 'C0013935', 'C0017260', 'C0017262', 'C0017263', 'C0017337', 'C0020417', 'C0020610', 'C0021467', 'C0021469', 'C0025914', 'C0025929', 'C0026559', 'C0026809', 'C0026882', 'C0027794', 'C0028877', 'C0031327', 'C0036563', 'C0036745', 'C0037083', 'C0037922', 'C0039798', 'C0040408', 'C0040442', 'C0041904', 'C0042149', 'C0065088', 'C0079429', 'C0085973', 'C0086418', 'C0087111', 'C0162415', 'C0185117', 'C0200898', 'C0205390', 'C0205412', 'C0231180', 'C0242290', 'C0376634', 'C0396246', 'C0399352', 'C0439856', 'C0441712', 'C0441766', 'C0441778', 'C0530979', 'C0543419', 'C0557651', 'C0596392', 'C0596611', 'C0596988', 'C0598496', 'C0600511', 'C0678941', 'C0682770', 'C0685787', 'C0851285', 'C0868971', 'C0879626', 'C0947630', 'C1154415', 'C1156284', 'C1171362', 'C1279919', 'C1280500', 'C1300072', 'C1300203', 'C1306673', 'C1327616', 'C1327622', 'C1412805', 'C1413131', 'C1414058', 'C1414819', 'C1417166', 'C1417387', 'C1417585', 'C1417679', 'C1419987', 'C1421175', 'C1435681', 'C1442161', 'C1511726', 'C1511760', 'C1515670', 'C1522326', 'C1522467', 'C1524059', 'C1533734', 'C1538552', 'C1546437', 'C1568257', 'C1628982', 'C1704881', 'C1705169', 'C1705285', 'C1705923', 'C1706376', 'C1706979', 'C1708480', 'C1848980', 'C1879547', 'C1880274', 'C1881224', 'C1883559', 'C1970308', 'C2349948', 'C2603343', 'C2700330', 'C2700462', 'C2826562', 'C2911684', 'C2936621', 'C2936622', 'C2945744', 'C3245479', 'C3463820', 'C3537152', 'C3714606', 'C3714741', 'C3830361', 'C3853838', 'C3854321', 'C4024202', 'C4025055', 'C4246473', 'C4277541', 'C4280784', 'C4330825', 'C4331207', 'C4505109', 'C4527431', 'C4554416', 'C4699379', 'C5237010', 'C5444688', 'C5444885', 'C5555096', 'C5690819']",Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and Msx1-/- tooth mesenchyme Transcriptomes,Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and Osr2â/â Tooth Mesenchyme Transcriptomes
within_mouse,GSE84234,GSE98960,1.0,0.986013986013986,141,"['C0001272', 'C0001782', 'C0006826', 'C0010439', 'C0013935', 'C0017337', 'C0017340', 'C0017428', 'C0017472', 'C0024660', 'C0025723', 'C0026336', 'C0026339', 'C0026577', 'C0027654', 'C0028877', 'C0029017', 'C0029433', 'C0031327', 'C0031843', 'C0035139', 'C0036563', 'C0037083', 'C0037775', 'C0079429', 'C0086982', 'C0205107', 'C0205195', 'C0205231', 'C0205359', 'C0206132', 'C0220781', 'C0220922', 'C0221103', 'C0230956', 'C0259902', 'C0282523', 'C0282637', 'C0282655', 'C0301625', 'C0332162', 'C0439634', 'C0439750', 'C0441621', 'C0441712', 'C0458003', 'C0522506', 'C0542341', 'C0546981', 'C0582205', 'C0597415', 'C0598496', 'C0599755', 'C0678723', 'C0679006', 'C0700058', 'C0700205', 'C0728721', 'C0868971', 'C0870078', 'C0870781', 'C0871261', 'C0887950', 'C0920502', 'C0998265', 'C1136031', 'C1155389', 'C1157689', 'C1158950', 'C1159269', 'C1171322', 'C1257873', 'C1257909', 'C1279919', 'C1282438', 'C1282701', 'C1283997', 'C1301808', 'C1306459', 'C1315032', 'C1378698', 'C1417679', 'C1511726', 'C1514829', 'C1515568', 'C1516710', 'C1516906', 'C1517031', 'C1517055', 'C1522492', 'C1523250', 'C1524059', 'C1546437', 'C1547140', 'C1621636', 'C1623167', 'C1655731', 'C1704259', 'C1704632', 'C1704711', 'C1705273', 'C1705987', 'C1706376', 'C1706701', 'C1706817', 'C1706979', 'C1720799', 'C1883633', 'C1947911', 'C1956351', 'C2265602', 'C2347173', 'C2347982', 'C2348001', 'C2707253', 'C2755041', 'C2911692', 'C2949735', 'C2984399', 'C2987512', 'C3161035', 'C3178997', 'C3245479', 'C3245505', 'C3494413', 'C3548902', 'C3669222', 'C3714583', 'C3714741', 'C3811910', 'C3830361', 'C3844738', 'C3853906', 'C3888045', 'C4489236', 'C4684616', 'C4684754', 'C4727083', 'C4745054', 'C5237786', 'C5668307']",Epigenetic restriction of embryonic and extraembryonic lineages mirrors the somatic transition to cancer (RNA-seq),Epigenetic restriction of embryonic and extraembryonic lineages mirrors the somatic transition to cancer (Perturbation-RNAseq)
within_mouse,GSE107655,GSE107740,1.0,0.9928057553956835,138,"['C0001675', 'C0006104', 'C0008972', 'C0009585', 'C0009586', 'C0013036', 'C0013935', 'C0017262', 'C0017263', 'C0017337', 'C0017340', 'C0019652', 'C0020792', 'C0021485', 'C0022752', 'C0023977', 'C0023980', 'C0024501', 'C0025611', 'C0026336', 'C0026339', 'C0027882', 'C0029235', 'C0030567', 'C0033413', 'C0033508', 'C0034671', 'C0037742', 'C0079429', 'C0086153', 'C0153633', 'C0162340', 'C0178601', 'C0185117', 'C0202419', 'C0205195', 'C0205210', 'C0205245', 'C0205263', 'C0205360', 'C0205396', 'C0231073', 'C0242422', 'C0282151', 'C0314932', 'C0333562', 'C0376554', 'C0392747', 'C0424215', 'C0441712', 'C0443127', 'C0449560', 'C0456387', 'C0456984', 'C0521114', 'C0521390', 'C0522498', 'C0542341', 'C0557651', 'C0599883', 'C0678723', 'C0682735', 'C0683572', 'C0683941', 'C0751606', 'C0752249', 'C0796351', 'C0796358', 'C0851285', 'C0857127', 'C0870809', 'C0887909', 'C0907533', 'C0947630', 'C1160700', 'C1167395', 'C1272883', 'C1291847', 'C1300196', 'C1311470', 'C1327622', 'C1417679', 'C1427926', 'C1511124', 'C1512035', 'C1515655', 'C1516348', 'C1516710', 'C1516818', 'C1517486', 'C1518291', 'C1533685', 'C1548958', 'C1554963', 'C1705294', 'C1705923', 'C1706376', 'C1706450', 'C1707660', 'C1828121', 'C1847640', 'C1880022', 'C1880156', 'C1947911', 'C1947950', 'C1948177', 'C2333022', 'C2346620', 'C2347098', 'C2350440', 'C2603343', 'C2700217', 'C2986383', 'C2986594', 'C3161035', 'C3178783', 'C3244125', 'C3641127', 'C3714583', 'C3811910', 'C3820983', 'C3829683', 'C3831111', 'C3853906', 'C3898883', 'C4019422', 'C4053868', 'C4086963', 'C4266577', 'C4323869', 'C4323874', 'C4724874', 'C4760607', 'C5420593', 'C5420594', 'C5425989', 'C5544419', 'C5554589']",A comprehensive map coupling histone modifications with gene regulation in adult dopaminergic and serotonergic neurons [RNA-Seq],A comprehensive map coupling histone modifications with gene regulation in adult dopaminergic and serotonergic neurons [scRNA-Seq]
